"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,NA,52,0,2,360,1,0,2552389624,NA,1,0,0,1,2,0,0,0,1,251000,1,"Alameda do Tapanã, 300 - Tapanã, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-tapana-belem-pa-52m2-id-2552389624/",-1.342418429849,-48.476141944016
1,12,64,0,2,480,1,0,2627446765,1100,1,1,1,1,2,1,0,0,1,440000,0,"Travessa Angustura, 2134 - Pedreira, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-pedreira-belem-pa-64m2-id-2627446765/",-1.428379985238,-48.466970002496
1,18,79,1,2,700,1,1,2646650667,2200,1,1,1,1,3,1,0,1,1,690000,1,"Travessa Humaitá, 2240 - Marco, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-marco-belem-pa-79m2-id-2646650667/",-1.440789979622,-48.464419976093
0,NA,67,0,1,283,0,0,2576945539,NA,1,1,1,1,2,1,0,0,1,250000,0,"Rodovia Mário Covas, 180 - Coqueiro, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coqueiro-belem-pa-67m2-id-2576945539/",-1.344869994253,-48.444489989637
1,10,72,0,2,NA,1,1,2626997792,NA,1,1,1,1,2,1,0,0,1,540000,0,"Rua dos Caripunas, 2742 - Cremação, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-cremacao-belem-pa-72m2-id-2626997792/",-1.46088001852,-48.478539962544
0,NA,57,1,1,NA,0,0,2574736313,NA,0,1,0,1,2,0,0,0,1,145000,0,"Parque Guajara, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-parque-guajara-belem-pa-57m2-id-2574736313/",-1.31388,-48.4597
1,3,94,0,4,816,1,1,2647239953,100,1,1,1,1,2,1,1,0,2,720000,1,"Rua Domingos Marreiros, 1403 - Umarizal, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-umarizal-belem-pa-94m2-id-2647239953/",-1.443780014032,-48.47503004059
NA,NA,100,NA,3,NA,NA,NA,2651979488,NA,NA,NA,NA,NA,3,NA,NA,NA,2,895000,NA,"Avenida Conselheiro Furtado, 424 - Batista Campos, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-batista-campos-belem-pa-100m2-id-2651979488/",-1.461520018737,-48.493130006126
0,NA,55,0,1,NA,0,0,2645724941,NA,0,0,1,0,2,0,0,0,1,165000,0,"Avenida das Andorinhas, 249 - Parque Verde, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-parque-verde-belem-pa-55m2-id-2645724941/",-1.358474027351,-48.445654526498
0,NA,78,1,1,750,1,0,2636301597,1,0,0,1,0,2,0,0,0,1,320000,0,"Travessa Nove de Janeiro, 2534 - Fátima, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-fatima-belem-pa-78m2-id-2636301597/",-1.462456138653,-48.475304131562
0,NA,76,0,1,650,0,0,2630440807,NA,0,0,1,0,2,1,0,0,1,350000,0,"Travessa Chaco, 1545 - Pedreira, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-salao-de-festas-pedreira-belem-pa-76m2-id-2630440807/",-1.43869001951,-48.468840005095
1,NA,144,1,4,1050,1,1,2651219361,NA,1,1,1,1,3,1,1,1,3,1350000,1,"Travessa Quatorze de Março, 720 - Umarizal, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-umarizal-belem-pa-144m2-id-2651219361/",-1.441680012011,-48.480950011164
0,NA,130,0,4,1000,1,0,2651885846,NA,1,0,1,1,3,1,0,0,2,950000,1,"Travessa Apinagés, 778 - Batista Campos, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-batista-campos-belem-pa-130m2-id-2651885846/",-1.465549995874,-48.487229984481
NA,3,73,NA,1,NA,NA,NA,2628153240,NA,NA,NA,NA,NA,2,NA,NA,NA,1,3e+05,NA,"Avenida dos Planetas, 100 - Mangueirão, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mangueirao-belem-pa-73m2-id-2628153240/",-1.385690993597,-48.438946374073
NA,29,120,NA,4,879,NA,NA,2632499501,1990,NA,NA,NA,NA,3,NA,NA,NA,2,949000,NA,"Rua Boaventura da Silva, 2932 - Nazaré, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-nazare-belem-pa-120m2-id-2632499501/",-1.449779192228,-48.488868786247
1,NA,79,0,2,NA,1,1,2618652198,NA,1,1,1,1,3,1,0,0,1,665000,0,"Travessa Magno de Araújo, 370 - Telégrafo Sem Fio, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-telegrafo-sem-fio-belem-pa-79m2-id-2618652198/",-1.430160008106,-48.487580012757
1,NA,84,0,2,869,1,1,2637037763,NA,0,0,0,0,2,0,0,0,1,650000,1,"Travessa Humaitá - Marco, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-marco-belem-pa-84m2-id-2637037763/",-1.438314992207,-48.467435030484
1,NA,94,0,2,649,0,0,2616514733,NA,1,0,1,0,2,1,0,0,1,550000,0,"Travessa Mariz e Barros - Pedreira, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-pedreira-belem-pa-94m2-id-2616514733/",-1.428331943675,-48.474296279563
1,NA,71,0,2,111,1,1,2603433733,111,1,1,1,1,2,1,1,1,2,637774,1,"Rua dos Caripunas, 1593 - Batista Campos, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-batista-campos-belem-pa-71m2-id-2603433733/",-1.46310998195,-48.4882099966
0,NA,187,0,4,NA,0,0,2647809016,NA,0,0,1,0,3,1,0,0,2,790000,0,"Avenida Duque de Caxias, 1404 - Marco, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-marco-belem-pa-187m2-id-2647809016/",-1.426270008751,-48.459069974934
NA,NA,47,NA,2,NA,NA,NA,2646826263,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,485862,NA,"Avenida Alcindo Cacela, 2304 - Batista Campos, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-batista-campos-belem-pa-47m2-id-2646826263/",-1.457329989158,-48.477370016499
1,NA,202,0,5,NA,1,0,2556777918,NA,1,1,1,1,3,1,1,0,4,1950000,0,"Travessa Dom Romualdo de Seixas, 795 - Umarizal, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-umarizal-belem-pa-202m2-id-2556777918/",-1.439589984454,-48.486060038435
NA,5,77,NA,2,630,NA,NA,2644156772,930,NA,NA,NA,NA,2,NA,NA,NA,2,450000,NA,"Rua Rodolfo Chermont, 236 - Marambaia, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-marambaia-belem-pa-77m2-id-2644156772/",-1.407389981396,-48.45255002773
1,NA,79,0,2,NA,1,0,2626687161,NA,1,1,0,1,3,1,0,0,1,6e+05,0,"Avenida Generalíssimo Deodoro, 00 - Cremação, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cremacao-belem-pa-79m2-id-2626687161/",-1.458705317982,-48.482717876069
NA,NA,47,NA,1,NA,NA,NA,2569150690,NA,NA,NA,NA,NA,1,NA,NA,NA,1,412899,NA,"Avenida Alcindo Cacela, 2304 - Condor, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-interfone-condor-belem-pa-47m2-id-2569150690/",-1.457329989158,-48.477370016499
0,NA,117,1,2,850,1,0,2633263578,1,0,0,1,0,3,0,0,0,1,320000,0,"Travessa Apinagés, 989 - Batista Campos, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-batista-campos-belem-pa-117m2-id-2633263578/",-1.466050018308,-48.485310025739
1,2,79,1,3,600,1,1,2557213369,160,1,1,1,0,3,1,0,0,1,635000,1,"Rua Municipalidade, 370 - Telégrafo Sem Fio, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-telegrafo-sem-fio-belem-pa-79m2-id-2557213369/",-1.434919581207,-48.488306384094
1,11,76,0,2,690,1,1,2639720059,100,1,0,1,1,3,1,0,0,1,570001,0,"Rodovia Augusto Montenegro, 4400 - Parque Verde, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-parque-verde-belem-pa-76m2-id-2639720059/",-1.366200009997,-48.447849959344
1,NA,76,0,2,600,1,1,2641197906,600,1,1,0,1,3,1,0,0,2,580000,1,"Rodovia Augusto Montenegro, 4400 - Mangueirão, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-mangueirao-belem-pa-76m2-id-2641197906/",-1.37766399677,-48.440717181793
0,NA,45,1,1,230,0,1,2648461884,NA,1,0,1,0,2,1,0,0,1,220000,0,"Rodovia Artur Bernardes, 4400 - Tapanã, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-tapana-belem-pa-45m2-id-2648461884/",-1.340662890199,-48.478972965898
0,6,170,1,3,120,1,0,2625100915,300,1,1,1,0,3,1,0,0,2,730001,1,"Travessa Quatorze de Abril, 1571 - Sao Bras, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-sao-bras-belem-pa-170m2-id-2625100915/",-1.453799992545,-48.472930038568
0,NA,65,0,2,NA,1,0,2619075825,NA,0,0,1,0,2,0,0,0,1,330000,0,"Rua Cônego Jerônimo Pimentel, 536 - Umarizal, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-umarizal-belem-pa-65m2-id-2619075825/",-1.440380020738,-48.486590026173
1,NA,51,0,2,470,1,1,2607992141,750,1,1,1,1,2,1,0,0,1,251000,0,"Estrada do Tapanã, 813 - Tapanã, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-tapana-belem-pa-51m2-id-2607992141/",-1.328855593387,-48.480727886413
0,14,92,1,2,NA,0,0,2618342906,NA,1,0,1,0,3,1,0,0,1,530000,0,"Avenida Marquês de Herval, 1514 - Pedreira, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pedreira-belem-pa-92m2-id-2618342906/",-1.427739985021,-48.467680033514
0,15,370,0,3,1900,1,0,2583207199,5300,0,0,1,0,3,1,0,0,2,1950000,0,"Rua Osvaldo Cruz, 99 - Campina, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-campina-belem-pa-370m2-id-2583207199/",-1.451269998891,-48.495690006994
NA,NA,175,NA,3,NA,NA,NA,2645101462,NA,NA,NA,NA,NA,2,NA,NA,NA,3,1890000,NA,"Nazaré, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-nazare-belem-pa-175m2-id-2645101462/",-1.45221,-48.48308
0,16,90,1,3,633,1,0,2626137297,1300,0,0,1,0,2,0,0,0,NA,470000,0,"Avenida Nazaré - Nazaré, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-nazare-belem-pa-90m2-id-2626137297/",-1.452298529358,-48.486709772695
1,NA,72,0,1,776,1,0,2630574871,94,0,1,0,0,3,1,0,0,1,490000,1,"Travessa Timbó - Marco, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-academia-marco-belem-pa-72m2-id-2630574871/",-1.434064124614,-48.468457785624
1,NA,45,0,1,NA,1,1,2629006193,NA,1,1,0,0,1,0,0,1,1,450000,0,"Travessa Angustura, 2806 - Marco, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-marco-belem-pa-45m2-id-2629006193/",-1.431780020442,-48.461910015187
1,NA,132,0,4,NA,1,1,2640878155,NA,1,1,1,1,3,1,1,1,2,1100000,1,"Avenida Serzedelo Corrêa, 1191 - Batista Campos, Belém - PA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-batista-campos-belem-pa-132m2-id-2640878155/",-1.462249998684,-48.486119969043
