academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
1.0,1.0,48.0,0,1.0,1.0,0,"Rua Quinta do Maguari, 727 - Centro, Ananindeua - PA",0,2641863422,1.0,0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-centro-ananindeua-pa-48m2-id-2641863422/,1.0,160000.0,0
,,57.0,,2.0,,,"Avenida Três Corações, 0 - Cidade Nova, Ananindeua - PA",,2653768875,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-cidade-nova-ananindeua-pa-57m2-id-2653768875/,1.0,238000.0,
1.0,7.0,62.0,0,2.0,415.0,1.0,"Rodovia BR-316, 5601 - Centro, Ananindeua - PA",1.0,2652811559,,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-ananindeua-pa-62m2-id-2652811559/,1.0,320000.0,0
1.0,,70.0,0,3.0,,1.0,"Travessa Apinagés, 0 - Icuí-Guajará, Ananindeua - PA",1.0,2610721573,,1.0,1.0,0,1.0,3.0,1.0,1.0,1.0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-icui-guajara-ananindeua-pa-70m2-id-2610721573/,2.0,730000.0,1.0
,1.0,100.0,,1.0,,,"Alameda Passarinho, 0 - Distrito Industrial, Ananindeua - PA",,2649842915,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-distrito-industrial-ananindeua-pa-100m2-id-2649842915/,1.0,75000.0,
0,,42.0,0,1.0,200.0,0,"Avenida Governador Hélio da Mota Gueiros, 100 - Quarenta Horas Coqueiro, Ananindeua - PA",0,2653042365,100.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-42m2-id-2653042365/,1.0,150000.0,0
0,,66.0,0,2.0,500.0,0,"Avenida Arterial - 5A, 16195 - Cidade Nova, Ananindeua - PA",0,2649690277,,1.0,1.0,0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-cidade-nova-ananindeua-pa-66m2-id-2649690277/,2.0,350000.0,0
1.0,8.0,74.0,0,3.0,612.0,1.0,"Rodovia BR-316, 1 - Centro, Ananindeua - PA",1.0,2647157799,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-ananindeua-pa-74m2-id-2647157799/,1.0,450000.0,1.0
0,4.0,42.0,1.0,1.0,,0,"Avenida Governador Hélio da Mota Gueiros, 10 - Quarenta Horas Coqueiro, Ananindeua - PA",1.0,2623856245,,1.0,0,0,1.0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-quarenta-horas-coqueiro-ananindeua-pa-42m2-id-2623856245/,1.0,184086.0,0
,,54.0,,1.0,,,"Passagem São Paulo, 4 - Atalaia, Ananindeua - PA",,2655397683,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-atalaia-ananindeua-pa-54m2-id-2655397683/,1.0,280000.0,
