"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
1,NA,190,0,5,700,0,1,2652230160,700,1,1,1,1,4,1,0,0,4,475000,1,"Rodovia BR-101, 230 - Tambay, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-tambay-bayeux-pb-190m2-id-2652230160/",-7.134540920239,-34.928638510756
NA,10,63,NA,2,NA,NA,NA,2642779064,NA,NA,NA,NA,NA,2,NA,NA,NA,1,120000,NA,"Avenida Ayrton Senna, 10 - Jardim Aeroporto 	, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-jardim-aeroporto-bayeux-pb-63m2-id-2642779064/",-7.142907326546,-34.924150594284
0,NA,51,1,2,NA,0,0,2629681984,NA,0,0,0,0,2,0,0,0,1,54865,0,"Rua Celestino Barbosa - Comercial Norte, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-comercial-norte-bayeux-pb-51m2-id-2629681984/",-7.148753805229,-34.91818264467
NA,NA,60,NA,2,NA,NA,NA,2595863161,NA,NA,NA,NA,NA,2,NA,NA,NA,1,129900,NA,"Rua Nossa Senhora Aparecida - Comercial Norte, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-comercial-norte-bayeux-pb-60m2-id-2595863161/",-7.146685008028,-34.918804990556
0,1,50,0,2,NA,0,0,2631077571,NA,1,0,0,0,2,0,0,0,1,180000,1,"Rua Sargento Antônio José de Lima - Jardim Aeroporto 	, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-aeroporto-bayeux-pb-50m2-id-2631077571/",-7.144270567466,-34.940239018695
0,NA,51,1,2,NA,0,0,2627478869,NA,0,0,0,0,2,0,0,0,1,54865,0,"Rua Celestino Barbosa - Comercial Norte, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-comercial-norte-bayeux-pb-51m2-id-2627478869/",-7.148753805229,-34.91818264467
NA,NA,450,NA,2,NA,NA,NA,2650949518,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1200000,NA,"Travessa Napoleão Laureano, 10 - Centro, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-centro-bayeux-pb-450m2-id-2650949518/",-7.127776406829,-34.930682781092
0,NA,52,1,2,NA,0,0,2626978157,NA,0,0,0,0,2,0,0,0,1,54865,0,"Rua Celestino Barbosa - Comercial Norte, Bayeux - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-comercial-norte-bayeux-pb-52m2-id-2626978157/",-7.148753805229,-34.91818264467
1,NA,210,0,4,500,0,1,2607794670,NA,1,1,0,1,1,1,0,1,6,1150000,1,"Comercial Norte, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-piscina-comercial-norte-bayeux-pb-210m2-id-2607794670/",-7.14611,-34.92299
NA,NA,119,NA,1,NA,NA,NA,2655451093,200,NA,NA,NA,NA,3,NA,NA,NA,1,250000,NA,"Rua Manoel de Góis, 137 - São Bento, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-copa-sao-bento-bayeux-pb-119m2-id-2655451093/",-7.122408757684,-34.910181171504
NA,NA,55,NA,2,NA,NA,NA,2655450898,NA,NA,NA,NA,NA,2,NA,NA,NA,1,155000,NA,"Rua Quinze de Novembro, 420 - Rio do Meio, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-sala-de-jantar-rio-do-meio-bayeux-pb-55m2-id-2655450898/",-7.134357274241,-34.934650635834
NA,1,60,NA,2,NA,NA,NA,2633558776,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,65000,NA,"Rua Manoel Veloso Borges, 67 - Sesi, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-lavanderia-coletiva-sesi-bayeux-pb-60m2-id-2633558776/",-7.12636000343,-34.913289991633
NA,NA,127,NA,1,NA,NA,NA,2643997044,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,150000,NA,"Rua Flávio Ribeiro Coutinho, 442 - Sesi, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-sesi-bayeux-pb-127m2-id-2643997044/",-7.126240016486,-34.912880032748
NA,NA,140,NA,1,NA,NA,NA,2646561414,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,170000,NA,"Rua Arnaud Oliveira Lima, 453 - São Bento, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-bento-bayeux-pb-140m2-id-2646561414/",-7.1223253478,-34.902271675923
NA,NA,123,NA,2,NA,NA,NA,2643504053,NA,NA,NA,NA,NA,3,NA,NA,NA,2,380000,NA,"Rua Sargento Antônio José de Lima, 0 - Jardim Aeroporto 	, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-aeroporto-bayeux-pb-123m2-id-2643504053/",-7.144270567466,-34.940239018695
NA,NA,280,NA,1,NA,NA,NA,2646555931,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,190000,NA,"Rua Vicente Pereira da Silva, 362 - Alto da Boa Vista, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-alto-da-boa-vista-bayeux-pb-280m2-id-2646555931/",-7.135545670795,-34.941174129793
NA,NA,186,NA,1,NA,NA,NA,2650071304,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1049000,NA,"Imaculada, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-imaculada-bayeux-pb-186m2-id-2650071304/",-7.1346,-34.92519
NA,1,222,NA,1,680,NA,NA,2596357566,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1500000,NA,"Centro, Bayeux - PB","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-centro-bayeux-pb-222m2-id-2596357566/",-7.12515,-34.9228
0,NA,360,1,5,415,0,0,2580089551,NA,1,0,0,1,4,0,0,0,4,3300000,0,"Comercial Norte, Bayeux - PB","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-mobiliado-comercial-norte-bayeux-pb-360m2-id-2580089551/",-7.14611,-34.92299
0,NA,233,0,3,745,0,0,2655553974,747,1,0,0,1,3,0,0,0,4,1500000,0,"Comercial Norte, Bayeux - PB","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-comercial-norte-bayeux-pb-233m2-id-2655553974/",-7.14611,-34.92299
0,NA,373,1,7,550,0,0,2628923858,NA,1,0,0,1,5,0,0,0,4,3200000,0,"Comercial Norte, Bayeux - PB","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-piscina-comercial-norte-bayeux-pb-373m2-id-2628923858/",-7.14611,-34.92299
0,NA,341,1,5,500,0,0,2623999586,NA,0,0,0,1,3,0,0,0,4,2200000,0,"Comercial Norte, Bayeux - PB","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-comercial-norte-bayeux-pb-341m2-id-2623999586/",-7.14611,-34.92299
0,NA,210,1,1,NA,0,0,2591244326,NA,1,0,0,1,3,0,0,0,4,1100000,0,"Comercial Norte, Bayeux - PB","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-comercial-norte-bayeux-pb-210m2-id-2591244326/",-7.14611,-34.92299
