academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
,,40.0,,1.0,,,"Rua Cezar Nogueira Júnior, 230 - Santa Luzia, Boa Vista - RR",,2654204023,,,,,,1.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-campo-de-futebol-santa-luzia-boa-vista-rr-40m2-id-2654204023/,13.0,45000.0,
,,57.0,,1.0,,,"Rua Papa João Paulo II, 1186 - Doutor Silvio Botelho, Boa Vista - RR",,2645334076,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-doutor-silvio-botelho-boa-vista-rr-57m2-id-2645334076/,1.0,140000.0,
,,50.0,,1.0,,,"Avenida Chile - Cauamé, Boa Vista - RR",,2645315296,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-cauame-boa-vista-rr-50m2-id-2645315296/,,150000.0,
0,3.0,44.0,0,1.0,,0,"Avenida Chile, 213 - Caranã, Boa Vista - RR",0,2642753075,,0,0,1.0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-carana-boa-vista-rr-44m2-id-2642753075/,1.0,250000.0,0
0,,84.0,0,1.0,,0,"Cauamé, Boa Vista - RR",0,2651691514,,0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-cauame-boa-vista-rr-84m2-id-2651691514/,1.0,300000.0,1.0
0,,90.0,1.0,2.0,,0,"Travessa Araraquara, 789 - São Vicente, Boa Vista - RR",0,2559326344,,0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-sao-vicente-boa-vista-rr-90m2-id-2559326344/,5.0,1800000.0,0
0,,202.0,0,3.0,,0,"Rua Dom Pedro I - Centro, Boa Vista - RR",0,2624388873,,1.0,1.0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-boa-vista-rr-202m2-id-2624388873/,2.0,990000.0,0
,,240.0,,6.0,,,"Rua 06, 259 - Jardim Tropical, Boa Vista - RR",,2645337472,,,,,,6.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-6-quartos-jardim-tropical-boa-vista-rr-240m2-id-2645337472/,,420000.0,
,,60.0,,1.0,,,"Rua Provérbio, 280 - Cinturao Verde, Boa Vista - RR",,2654869428,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-cinturao-verde-boa-vista-rr-60m2-id-2654869428/,,750000.0,
0,,600.0,1.0,5.0,,0,"Avenida Antonino Menezes da Silva - Caçari, Boa Vista - RR",0,2559326333,,0,0,0,0,5.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-area-de-servico-cacari-boa-vista-rr-600m2-id-2559326333/,4.0,1900000.0,0
0,,120.0,1.0,2.0,,0,"Rua Peixes, 1072 - Cidade Satelite, Boa Vista - RR",0,2648443666,470.0,0,0,0,0,3.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cidade-satelite-boa-vista-rr-120m2-id-2648443666/,3.0,395000.0,0
,,104.0,,2.0,,,"Rua Doutor Zamenhof, 876 - Caranã, Boa Vista - RR",,2654651219,500.0,,,,,2.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-carana-boa-vista-rr-104m2-id-2654651219/,3.0,380000.0,
,,100.0,,2.0,,,"Rua Mecejana, 852 - Mecejana, Boa Vista - RR",,2653592368,,,,,,4.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-mecejana-boa-vista-rr-100m2-id-2653592368/,2.0,400000.0,
0,,108.0,0,3.0,,0,"Aeroporto, Boa Vista - RR",1.0,2652634280,,0,0,0,0,2.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-sala-de-jantar-aeroporto-boa-vista-rr-108m2-id-2652634280/,1.0,780000.0,0
,,10.0,,,,,"Rua Victor Hugo - Nossa Senhora Aparecida, Boa Vista - RR",,2645318153,,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-nossa-senhora-aparecida-boa-vista-rr-10m2-id-2645318153/,,2200000.0,
,2.0,600.0,,5.0,,,"Rua General Penha Brasil - Centro, Boa Vista - RR",,2642759899,,,,,,3.0,,,,imoveis,https://www.zapimoveis.com.br/imovel/venda-3-quartos-centro-boa-vista-rr-600m2-id-2642759899/,4.0,3500000.0,
,,961.0,,,,,"Rua Raio de Lua - Raiar do Sol, Boa Vista - RR",,2641163592,,,,,,,,,,terrenos_e_lotes_comerciais,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-raiar-do-sol-boa-vista-rr-961m2-id-2641163592/,,970000.0,
,,4000.0,,,,,"Travessa Salomão Lima da Silva, 1660 - Centenario, Boa Vista - RR",,2644803026,,,,,,,,,,terrenos_e_lotes_comerciais,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-centenario-boa-vista-rr-4000m2-id-2644803026/,,1600000.0,
,,4612.0,,,,,"Avenida João Alencar - Cauamé, Boa Vista - RR",,2624388875,,,,,,,,,,terrenos_e_lotes_comerciais,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-cauame-boa-vista-rr-4612m2-id-2624388875/,,3000000.0,
,,139870.0,,,,,"Rodovia BR-174, SN - Said Salomao, Boa Vista - RR",,2651469565,,,,,,,,,,terrenos_e_lotes_comerciais,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-said-salomao-boa-vista-rr-139870m2-id-2651469565/,,25000000.0,
,,32000.0,,,,,"Rua DI-X2, SN - Distrito Industrial Governador Aquilino Mota Duarte, Boa Vista - RR",,2649805853,,,,,,,,,,terrenos_e_lotes_comerciais,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-distrito-industrial-governador-aquilino-mota-duarte-boa-vista-rr-32000m2-id-2649805853/,,2800000.0,
0,,129.0,0,1.0,,0,"Rua Dom Apparecido José Dias - Cidade Satelite, Boa Vista - RR",1.0,2645319280,,1.0,0,0,0,1.0,0,0,0,casas_comerciais,https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-piscina-cidade-satelite-boa-vista-rr-129m2-id-2645319280/,3.0,550000.0,0
,,200.0,,4.0,,,"Rua Ivone Pinheiro, 564 - Tancredo Neves, Boa Vista - RR",,2563906700,,,,,,4.0,,,,casas_comerciais,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-tancredo-neves-boa-vista-rr-200m2-id-2563906700/,4.0,550000.0,
,,10.0,,,,,"Trinta e Um de Março, Boa Vista - RR",,2653653763,,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-trinta-e-um-de-marco-boa-vista-rr-10m2-id-2653653763/,,800000.0,
,,10.0,,,,,"Rua Maú - São Vicente, Boa Vista - RR",,2645318889,,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-sao-vicente-boa-vista-rr-10m2-id-2645318889/,,500000.0,
,,1200.0,,,,,"Rua Cristiano Vieira da Silva, 34 - Paraviana, Boa Vista - RR",,2613313665,,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-paraviana-boa-vista-rr-1200m2-id-2613313665/,,1560000.0,
