"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
NA,NA,1200,NA,NA,NA,NA,"Rua Cristiano Vieira da Silva, 34 - Paraviana, Boa Vista - RR",NA,2613313665,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-paraviana-boa-vista-rr-1200m2-id-2613313665/",NA,1560000,NA,2.85917,-60.66054
NA,NA,961,NA,NA,NA,NA,"Rua Raio de Lua - Raiar do Sol, Boa Vista - RR",NA,2641163592,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-raiar-do-sol-boa-vista-rr-961m2-id-2641163592/",NA,970000,NA,2.781052169642,-60.726958212395
0,2,438,0,5,NA,0,"Alameda Platão - Nossa Senhora Aparecida, Boa Vista - RR",1,2639442185,NA,1,0,0,0,2,0,0,0,"sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-piscina-nossa-senhora-aparecida-boa-vista-rr-438m2-id-2639442185/",4,2150000,1,2.843590009885,-60.663174977835
NA,2,167,NA,4,NA,NA,"Rua Desembargador Francisco Murilo Pinto - Caçari, Boa Vista - RR",NA,2641079170,NA,NA,NA,NA,NA,3,NA,NA,NA,"sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-cacari-boa-vista-rr-167m2-id-2641079170/",2,950000,NA,2.850996782251,-60.651309268821
0,NA,934,0,2,NA,0,"Avenida Getúlio Vargas - Caçari, Boa Vista - RR",0,2624390134,NA,1,0,0,0,5,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-piscina-cacari-boa-vista-rr-934m2-id-2624390134/",8,6e+06,1,2.839218714701,-60.651993804052
NA,NA,286,NA,5,NA,NA,"Rua Papa João Paulo II, 1186 - Doutor Silvio Botelho, Boa Vista - RR",NA,2645336113,NA,NA,NA,NA,NA,10,NA,NA,NA,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-10-quartos-doutor-silvio-botelho-boa-vista-rr-286m2-id-2645336113/",NA,670000,NA,2.7987400176,-60.743119977761
NA,NA,283,NA,6,NA,NA,"Rua Ministro Sérgio Mota, 46 - Paraviana, Boa Vista - RR",NA,2588951822,NA,NA,NA,NA,NA,4,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-paraviana-boa-vista-rr-283m2-id-2588951822/",3,2e+06,NA,2.855499368021,-60.665418753628
NA,NA,1200,NA,NA,NA,NA,"Rua Cerejeira, 125 - Paraviana, Boa Vista - RR",NA,2629276267,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-paraviana-boa-vista-rr-1200m2-id-2629276267/",NA,1100000,NA,2.856375853046,-60.665891018565
0,NA,249,0,2,NA,0,"Cinturao Verde, Boa Vista - RR",1,2652887091,NA,1,0,0,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-cinturao-verde-boa-vista-rr-249m2-id-2652887091/",3,750000,0,2.8051,-60.70749
NA,NA,73,NA,2,NA,NA,"Said Salomao, Boa Vista - RR",NA,2652887092,NA,NA,NA,NA,NA,2,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-said-salomao-boa-vista-rr-73m2-id-2652887092/",NA,335000,NA,2.82807,-60.66671
NA,NA,833,NA,NA,NA,NA,"Rua Ministro Sérgio Mota, SN - Paraviana, Boa Vista - RR",NA,2648019207,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-paraviana-boa-vista-rr-833m2-id-2648019207/",NA,7e+05,NA,2.858595488404,-60.66273814534
NA,NA,1000,NA,NA,NA,NA,"Avenida Caçari, 65 - Caçari, Boa Vista - RR",NA,2601153765,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cacari-boa-vista-rr-1000m2-id-2601153765/",NA,950000,NA,2.858550765984,-60.634503102571
NA,NA,10,NA,1,NA,NA,"Rua Pastor Nicanor Fabrício dos Santos - Doutor Silvio Botelho, Boa Vista - RR",NA,2645319210,NA,NA,NA,NA,NA,2,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-doutor-silvio-botelho-boa-vista-rr-10m2-id-2645319210/",NA,220000,NA,2.799625250493,-60.741890443067
NA,NA,100,NA,1,NA,NA,"Rua Capitão Clovis da Costa - Sao Bento, Boa Vista - RR",NA,2645318146,NA,NA,NA,NA,NA,2,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-bento-boa-vista-rr-100m2-id-2645318146/",NA,230000,NA,2.779545554113,-60.708630372383
0,NA,100,0,1,NA,0,"Rua Deuza Leão - Cidade Satelite, Boa Vista - RR",0,2645319382,NA,1,0,0,0,1,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-piscina-cidade-satelite-boa-vista-rr-100m2-id-2645319382/",NA,380000,0,2.84485,-60.74668
0,NA,140,1,2,NA,0,"Rua 04, 143 - Cidade Satelite, Boa Vista - RR",0,2559326348,NA,0,0,0,0,2,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-cidade-satelite-boa-vista-rr-140m2-id-2559326348/",2,5e+05,0,2.836469981278,-60.72985000011
NA,NA,2.5e+07,NA,NA,NA,NA,"Rua Guararapes, 1569 - Aeroporto, Boa Vista - RR",NA,2648804806,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-aeroporto-boa-vista-rr-25000000m2-id-2648804806/",NA,1.4e+07,NA,2.848504323996,-60.702854238924
