"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,4,124,0,4,880,1,0,2621029417,1241,1,0,1,0,3,1,0,0,2,660000,0,"Rua Golfo de Anadyr, 21 - Intermares, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-intermares-cabedelo-pb-124m2-id-2621029417/",-7.036960007174,-34.838879981469
NA,NA,420,NA,NA,NA,NA,NA,2562046438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110000,NA,"Rua Carmelita Morais de Medeiros - Loteamento Recanto do Poço, Cabedelo - PB","terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-energia-eletrica-loteamento-recanto-do-poco-cabedelo-pb-420m2-id-2562046438/",-7.015964184503,-34.837063044774
1,NA,75,1,2,NA,1,0,2634580753,NA,1,0,0,0,3,1,0,0,2,419000,0,"Intermares, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-intermares-cabedelo-pb-75m2-id-2634580753/",-7.04347,-34.84569
1,NA,96,0,2,NA,0,1,2638283956,NA,0,0,0,0,3,1,0,0,2,730082,0,"Jardim Camboinha, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-academia-jardim-camboinha-cabedelo-pb-96m2-id-2638283956/",-7.0026,-34.82881
NA,NA,53,NA,2,NA,NA,NA,2636745102,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,284000,NA,"Rua Maria Neide Nóbrega de Oliveira - Poço, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-poco-cabedelo-pb-53m2-id-2636745102/",-7.0208,-34.83526
NA,3,72,NA,2,400,NA,NA,2581216244,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2e+05,NA,"Rua Golfo de Bengala - Intermares, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-intermares-cabedelo-pb-72m2-id-2581216244/",-7.040101582947,-34.841598404538
0,NA,55,0,1,300,1,0,2647322385,600,1,0,0,0,2,0,0,0,1,348999,0,"Rua Mar Báltico, 100 - Intermares, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-intermares-cabedelo-pb-55m2-id-2647322385/",-7.037750157175,-34.838447371294
NA,NA,39,NA,1,NA,NA,NA,2649115056,NA,NA,NA,NA,NA,1,NA,NA,NA,1,284513,NA,"Rua Hilda Souto Maior de Figueiredo - Formosa, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-formosa-cabedelo-pb-39m2-id-2649115056/",-6.973173073203,-34.830605635099
0,1,21,0,1,250,1,1,2566847189,10,1,0,0,0,1,1,0,0,1,195063,0,"Rua Golfo de Botínia, 450 - Intermares, Cabedelo - PB","flats","https://www.zapimoveis.com.br/imovel/venda-flat-1-quarto-com-piscina-intermares-cabedelo-pb-21m2-id-2566847189/",-7.039896015166,-34.840276705702
1,NA,39,0,1,250,1,0,2638775705,NA,1,0,0,0,1,1,0,0,1,315000,0,"Avenida Mar da Sibéria - Intermares, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-intermares-cabedelo-pb-39m2-id-2638775705/",-7.040502087508,-34.842375932603
NA,NA,320,NA,6,NA,NA,NA,2643638519,NA,NA,NA,NA,NA,5,NA,NA,NA,3,1200000,NA,"Camboinha, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-camboinha-cabedelo-pb-320m2-id-2643638519/",-7.0129,-34.83238
0,NA,90,1,2,NA,0,0,85026070,NA,0,0,0,0,3,0,0,0,1,315000,0,"Intermares, Cabedelo - PB","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-intermares-cabedelo-pb-90m2-id-85026070/",-7.04347,-34.84569
