academia,andar,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,vaga,valor,varanda_gourmet,endereco,tipo,url
0.0,,42.0,0.0,1.0,,0.0,0.0,2653162706.0,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,160000.0,0.0,"Rua Cesar Ramos dos Santos, 385 - Parque Residencial Rita Vieira, Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-parque-residencial-rita-vieira-campo-grande-ms-42m2-id-2653162706/
,,54.0,,1.0,295.0,,,2644012882.0,,,,,,2.0,,,,1.0,210000.0,,"Rua Brisas de Zaragoza, 100 - Mata do Segredo , Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-mata-do-segredo-campo-grande-ms-54m2-id-2644012882/
0.0,,109.0,1.0,2.0,,0.0,0.0,2619998415.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,88144.0,0.0,"Rua Jandaia - Jardim Noroeste, Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-jardim-noroeste-campo-grande-ms-109m2-id-2619998415/
0.0,2.0,60.0,1.0,1.0,1.0,0.0,0.0,2589962985.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,240000.0,0.0,"Rua 32 - Vila Nova Campo Grande, Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-vila-nova-campo-grande-campo-grande-ms-60m2-id-2589962985/
1.0,,168.0,0.0,4.0,,0.0,1.0,2533499087.0,,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,1368000.0,1.0,"Rua Alberto Neder, 424 - Centro, Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-campo-grande-ms-168m2-id-2533499087/
,,70.0,,1.0,,,,2652955514.0,,,,,,1.0,,,,,330000.0,,"Rua Pernambuco, 84 - Centro, Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-centro-campo-grande-ms-70m2-id-2652955514/
1.0,14.0,190.0,1.0,5.0,1330.0,0.0,0.0,2575773459.0,7319.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,1050000.0,0.0,"Rua Barão do Rio Branco, 2130 - Centro, Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-centro-campo-grande-ms-190m2-id-2575773459/
0.0,,136.0,1.0,3.0,876.0,0.0,0.0,2652035177.0,,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,,590000.0,0.0,"Rua Aluízio de Azevedo, 1330 - Jardim Monte Libano, Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-monte-libano-campo-grande-ms-136m2-id-2652035177/
0.0,1.0,142.0,1.0,3.0,858.0,1.0,0.0,2637083716.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,695000.0,0.0,"Avenida Afonso Pena - Centro, Campo Grande - MS",apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-centro-campo-grande-ms-142m2-id-2637083716/
,,80.0,,1.0,,,,2639950070.0,,,,,,2.0,,,,1.0,250000.0,,"Rua Caroba, 287 - Coophatrabalho, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-coophatrabalho-campo-grande-ms-80m2-id-2639950070/
0.0,,115.0,1.0,2.0,,0.0,0.0,2564058682.0,900.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,440000.0,0.0,"Rua Roney Paini Malheiros, 654 - Coophamat, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-coophamat-campo-grande-ms-115m2-id-2564058682/
0.0,1.0,61.0,1.0,1.0,,0.0,0.0,2647374056.0,600.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,190000.0,0.0,"Rua Buriti do Brejo, 37 - Jardim da Mooca, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-da-mooca-campo-grande-ms-61m2-id-2647374056/
0.0,,97.0,1.0,2.0,,0.0,0.0,2655311757.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,300000.0,0.0,"Rua Padre Rodolfo Lunkenbein, 44 - Jardim Campo Nobre, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-campo-nobre-campo-grande-ms-97m2-id-2655311757/
,,155.0,,2.0,,,,2613331806.0,,,,,,3.0,,,,2.0,340000.0,,"Jardim Alto Sao Francisco, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-alto-sao-francisco-campo-grande-ms-155m2-id-2613331806/
0.0,,95.0,1.0,3.0,,0.0,1.0,2644012866.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,399000.0,0.0,"Jardim Nossa Senhora do Perpetuo Socorro, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-nossa-senhora-do-perpetuo-socorro-campo-grande-ms-95m2-id-2644012866/
,,152.0,,3.0,,,,2612521691.0,1800.0,,,,,3.0,,,,3.0,440000.0,,"Avenida Noroeste, 739 - Amambaí, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-amambai-campo-grande-ms-152m2-id-2612521691/
,,86.0,,2.0,,,,2614080597.0,,,,,,3.0,,,,2.0,390000.0,,"Rua Nobres, 000 - Água Limpa Park , Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-agua-limpa-park-campo-grande-ms-86m2-id-2614080597/
0.0,,78.0,0.0,1.0,,0.0,1.0,2621779908.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,180000.0,1.0,"Rua Manche Catan David - Jardim Anache, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-jardim-anache-campo-grande-ms-78m2-id-2621779908/
,1.0,93.0,,2.0,,,,2641307401.0,1200.0,,,,,3.0,,,,3.0,398000.0,,"Rua Brigadeiro Tobias, 200 - Vila Taquarussu , Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-taquarussu-campo-grande-ms-93m2-id-2641307401/
0.0,,175.0,1.0,5.0,,0.0,0.0,2645592465.0,96.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,715000.0,1.0,"Rua Juiz de Fora, 551 - São Francisco, Campo Grande - MS",casas,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-sao-francisco-campo-grande-ms-175m2-id-2645592465/
