academia,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,vaga,valor,varanda_gourmet,latitude,longitude,area_aluguel,valor_aluguel,qnt_beneficio
1.0,57.0,1.0,2.0,400.0,0.0,1.0,,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,apartamentos,2.0,590000.0,0.0,-7.1153426,-34.8257456,49.0,3000.0,24.0
1.0,57.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,apartamentos,1.0,456117.0,0.0,-7.1049787,-34.8344596,60.0,2800.0,
0.0,62.0,0.0,2.0,410.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,379000.0,0.0,-7.11955,-34.836,67.0,2550.0,92.0
0.0,168.0,0.0,4.0,,0.0,0.0,,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,casas_de_condominio,4.0,649130.0,0.0,-7.1580344,-34.830084,63.0,1700.0,22.0
0.0,30.0,0.0,1.0,,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,apartamentos,,415018.0,0.0,-7.1276903,-34.8248522,56.0,3500.0,
0.0,134.0,0.0,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,345000.0,0.0,-7.1551066,-34.8364492,63.0,1700.0,22.0
1.0,74.0,0.0,3.0,400.0,1.0,1.0,700.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,apartamentos,1.0,650000.0,0.0,-7.1145787,-34.8226833,49.0,3000.0,24.0
1.0,120.0,0.0,4.0,,1.0,1.0,,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,apartamentos,2.0,1449000.0,0.0,-7.11550536814,-34.829450190765,49.0,3000.0,24.0
0.0,50.0,0.0,2.0,170.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,170000.0,0.0,-7.1817181,-34.8701106,60.0,900.0,
0.0,214.0,0.0,3.0,1400.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,,1600000.0,0.0,-7.1148299,-34.8392392,80.0,2700.0,
0.0,160.0,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,casas,1.0,250000.0,0.0,-7.182789623335,-34.840768183105,53.0,1200.0,3201.0
0.0,60.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,casas,1.0,120000.0,0.0,-7.196125043871,-34.832629826762,70.0,600.0,174.0
0.0,124.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,,840000.0,0.0,-7.1150428,-34.8567486,95.0,2850.0,15.0
