academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
1.0,10.0,50.0,0,1.0,,1.0,"Rua Trinta, 27 - Morada do Ouro, Cuiabá - MT",1.0,2657319300,,1.0,1.0,1.0,1.0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-morada-do-ouro-cuiaba-mt-50m2-id-2657319300/,2.0,320000.0,0
1.0,25.0,98.0,0,2.0,800.0,1.0,"Avenida Vereador Juliano da Costa Marques, 9 - Jardim Aclimação, Cuiabá - MT",1.0,2648993940,2000.0,1.0,1.0,1.0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-aclimacao-cuiaba-mt-98m2-id-2648993940/,2.0,699999.0,1.0
,,156.0,,5.0,1060.0,,"Rua Major Arnaldo de Mattos Cabral, 933 - Duque de Caxias, Cuiabá - MT",,2590083536,3600.0,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-duque-de-caxias-cuiaba-mt-156m2-id-2590083536/,2.0,1450000.0,
,,70.0,,2.0,483.0,,"Avenida República do Líbano, 33 - Alvorada, Cuiabá - MT",,2616684560,1000.0,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-alvorada-cuiaba-mt-70m2-id-2616684560/,2.0,500000.0,
0,,45.0,0,1.0,390.0,0,"Rua Antônio Dorileo, 10 - Coophema, Cuiabá - MT",1.0,2576181592,432.0,1.0,1.0,1.0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coophema-cuiaba-mt-45m2-id-2576181592/,1.0,170000.0,0
,,57.0,,1.0,375.0,,"Avenida Ipiranga, 12 - Porto, Cuiabá - MT",,2543461084,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-porto-cuiaba-mt-57m2-id-2543461084/,1.0,175000.0,
0,,56.0,1.0,1.0,600.0,0,"Rua Aristides Félix de Andrade, 18 - Araés, Cuiabá - MT",0,2543461289,1016.0,0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-araes-cuiaba-mt-56m2-id-2543461289/,1.0,235000.0,0
0,4.0,44.0,0,1.0,300.0,0,"Rua São Cristóvão, 1 - Dom Aquino, Cuiabá - MT",0,2628185872,400.0,1.0,1.0,0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-dom-aquino-cuiaba-mt-44m2-id-2628185872/,1.0,190000.0,0
,,42.0,,1.0,,,"Rua São João Del Rey, S/N - Jardim Mariana, Cuiabá - MT",,2622901641,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-jardim-mariana-cuiaba-mt-42m2-id-2622901641/,1.0,245000.0,
1.0,,130.0,1.0,3.0,600.0,1.0,"Avenida Aclimação, 01 - Bosque da Saúde, Cuiabá - MT",0,2634369227,1100.0,1.0,1.0,0,1.0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-bosque-da-saude-cuiaba-mt-130m2-id-2634369227/,2.0,890000.0,0
