academia,andar,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,vaga,valor,varanda_gourmet,endereco,tipo,url,foto_imovel
0.0,,55.0,1.0,1.0,,0.0,0.0,2668491619.0,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1200.0,0.0,"Rua Engenheiro João Batista de Lima Brandão, 153 - João Paulo II, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-joao-paulo-ii-joao-pessoa-pb-55m2-id-2668491619/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/806a3117c494a960dbf25ddce3ce724d/apartamento-com-2-quartos-para-alugar-55m-no-joao-paulo-ii-joao-pessoa.jpg
0.0,7.0,60.0,0.0,2.0,260.0,0.0,1.0,2664819294.0,,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2550.0,1.0,"Tambauzinho, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-tambauzinho-joao-pessoa-pb-60m2-id-2664819294/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ba1ee9a0eb935b49ae77aefdde1fd3de/apartamento-com-2-quartos-para-alugar-60m-no-tambauzinho-joao-pessoa.jpg
0.0,,55.0,0.0,2.0,,1.0,0.0,2548631672.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3500.0,0.0,"Miramar, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-ar-condicionado-miramar-joao-pessoa-pb-55m2-id-2548631672/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b886a2c25bf18351f293000c1bbc3cbe/apartamento-com-2-quartos-para-alugar-55m-no-miramar-joao-pessoa.jpg
1.0,,80.0,1.0,2.0,,1.0,1.0,2656442679.0,750.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,,3070.0,0.0,"Rua Doutor Arnaldo Escorel, 100 - Tambauzinho, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-tambauzinho-joao-pessoa-pb-80m2-id-2656442679/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/f9a4b9b123cee5bf00003ad4871f0cd0/apartamento-com-3-quartos-para-alugar-80m-no-tambauzinho-joao-pessoa.jpg
0.0,,70.0,0.0,2.0,170.0,0.0,0.0,2648828313.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1000.0,0.0,"Rua Maria José Mendes da Nóbrega, 100 - Água Fria, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-agua-fria-joao-pessoa-pb-70m2-id-2648828313/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/3b57862844495793788186fd19e042c2/apartamento-com-2-quartos-para-alugar-70m-no-agua-fria-joao-pessoa.jpg
1.0,,50.0,0.0,1.0,,1.0,1.0,2667478401.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2800.0,0.0,"Aeroclube, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-aeroclube-joao-pessoa-pb-50m2-id-2667478401/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/1bc05748d5bb0fb87249752654e5d50f/apartamento-com-2-quartos-para-alugar-50m-no-aeroclube-joao-pessoa.jpg
0.0,2.0,60.0,0.0,1.0,1.0,1.0,0.0,2655308554.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2550.0,0.0,"Rua Professor Joaquim Santiago, 722 - Expedicionários, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-expedicionarios-joao-pessoa-pb-60m2-id-2655308554/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/66b3caba3526ba2cd957f06805f1d76c/apartamento-com-2-quartos-para-alugar-60m-no-expedicionarios-joao-pessoa.jpg
0.0,,38.0,0.0,1.0,,1.0,1.0,2669313621.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,3300.0,0.0,"Rua Juvenal Mário da Silva, 600 - Manaíra, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-manaira-joao-pessoa-pb-38m2-id-2669313621/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fe9b17237e3e8ef20bdec5db772e8066/apartamento-com-1-quarto-para-alugar-38m-no-manaira-joao-pessoa.jpg
0.0,2.0,60.0,0.0,2.0,,1.0,1.0,2638115898.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2500.0,1.0,"Rua Olivério Mavignier de Noronha, 1 - Altiplano Cabo Branco, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-altiplano-cabo-branco-joao-pessoa-pb-60m2-id-2638115898/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bcf5f11fd6a689d916bf0eb17c22c6f7/apartamento-com-2-quartos-para-alugar-60m-no-altiplano-cabo-branco-joao-pessoa.jpg
0.0,,63.0,0.0,2.0,300.0,0.0,0.0,2654617603.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,900.0,1.0,"Rua Professora Mocinha Avelar, 275 - Ipês, João Pessoa - PB",apartamentos,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-jardim-ipes-joao-pessoa-pb-63m2-id-2654617603/,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/7fc83a23d363b20adfad0302cf69a8ad/apartamento-com-2-quartos-para-alugar-63m-no-ipes-joao-pessoa.jpg
