"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
NA,NA,300,NA,NA,NA,NA,NA,2619088403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rodovia Juscelino Kubitschek, S/N - Jardim Marco Zero, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/lancamento/venda-apartamento-jardim-marco-zero-macapa-ap-300m2-id-2619088403/",-0.003905000128,-51.081766269647
1,8,172,0,4,1100,1,1,2556635872,NA,1,1,1,1,3,1,0,1,3,1500000,1,"Central, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-central-macapa-ap-172m2-id-2556635872/",0.03398,-51.0613
1,6,172,0,4,1100,1,1,2651227155,NA,1,1,0,1,3,1,0,0,3,1300000,1,"Avenida General Gurjão, 435 - Central, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-central-macapa-ap-172m2-id-2651227155/",0.036023737438,-51.052425877751
0,NA,80,1,2,NA,0,0,2617891624,NA,0,0,0,0,2,0,0,0,1,180000,0,"Rua Floriano Waldek, 1459 - Sao Lazaro, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-sao-lazaro-macapa-ap-80m2-id-2617891624/",0.076310019976,-51.061819973896
1,1,130,0,2,NA,1,0,2602445545,NA,1,1,1,0,2,0,0,0,3,460000,0,"Avenida Caramuru, 1204 - Beirol, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-beirol-macapa-ap-130m2-id-2602445545/",0.02016662765,-51.06715139332
1,NA,99,0,3,NA,1,1,2617880820,NA,1,1,1,1,3,1,1,0,1,620000,1,"Avenida Stephan Houat, 1 - Jardim Marco Zero, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-marco-zero-macapa-ap-99m2-id-2617880820/",0.005086172858,-51.072979924304
0,2,49,0,1,380,0,0,2559221926,NA,0,1,1,0,1,0,0,0,1,240000,0,"Avenida Jose Tupinamba de Almeida, 736 - Laguinho, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-playground-laguinho-macapa-ap-49m2-id-2559221926/",0.04799,-51.05647
NA,NA,143,NA,4,NA,NA,NA,2574650991,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1800000,NA,"Renascer, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-renascer-macapa-ap-143m2-id-2574650991/",0.00414878699,-51.062637467
0,NA,72,1,2,600,0,0,2618766462,NA,0,0,0,0,1,0,0,0,1,4e+05,1,"Avenida Professora Cora de Carvalho, 2993 - Santa Rita, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-cozinha-santa-rita-macapa-ap-72m2-id-2618766462/",0.037183302621,-51.081354642969
0,NA,100,1,3,3000,0,0,2631182187,NA,0,0,0,0,3,0,0,0,2,1600000,0,"Avenida Pedro Baião, 01 - Central, Macapá - AP","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-central-macapa-ap-100m2-id-2631182187/",0.030015682767,-51.062828585302
