"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,6,67,0,2,646,1,0,2655575702,NA,1,1,0,0,3,1,0,0,1,470000,0,"Rua Walfrido Rocha, 206 - Jatiúca, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jatiuca-maceio-al-67m2-id-2655575702/",-9.648242489476,-35.71028275001
1,7,50,0,1,300,1,1,2626180771,300,1,1,1,1,2,0,0,0,1,194400,0,"Avenida Menino Marcelo, 10 - Cidade Universitária, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-cidade-universitaria-maceio-al-50m2-id-2626180771/",-9.56448890687,-35.774506276464
0,1,63,0,2,250,0,0,2650709800,NA,0,1,1,0,3,0,0,0,1,263500,0,"Avenida Comendador Gustavo Paiva, 249 - Jacarecica, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-jacarecica-maceio-al-63m2-id-2650709800/",-9.641109993514,-35.708390034599
0,4,38,0,1,200,1,1,2626694928,500,1,1,1,0,2,1,0,0,1,207990,1,"Avenida Carlos Gomes de Barros, 450 - Tabuleiro do Martins, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-tabuleiro-do-martins-maceio-al-38m2-id-2626694928/",-9.561173793657,-35.749982535671
NA,3,62,NA,1,150,NA,NA,2655283626,NA,NA,NA,NA,NA,2,NA,NA,NA,1,190000,NA,"Rua Silvio Sandes Torres Júnior - Barro Duro, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-barro-duro-maceio-al-62m2-id-2655283626/",-9.615930002004,-35.720129211701
0,NA,37,1,1,265,0,0,2647569960,NA,0,0,0,0,1,0,0,0,1,130000,0,"Avenida Doutor Milton Hênio Netto de Gouveia, 288 - Antares, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-sala-de-jantar-antares-maceio-al-37m2-id-2647569960/",-9.573969922303,-35.74386897821
0,NA,59,1,2,350,0,0,2651053068,190,0,0,0,0,2,0,0,0,1,470000,0,"Avenida Doutor Mário Nunes Vieira, 900 - Mangabeiras, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-sala-de-jantar-mangabeiras-maceio-al-59m2-id-2651053068/",-9.642077628055,-35.707987255345
1,6,51,0,2,400,1,1,2649222934,NA,1,1,1,1,2,1,0,0,1,275000,0,"Rua Conselheiro José Bezerra, 226 - Farol, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-farol-maceio-al-51m2-id-2649222934/",-9.62990033079,-35.749520022108
1,5,60,0,2,470,1,0,2655283452,NA,1,0,0,0,2,1,0,0,1,450000,1,"Avenida Professor Sandoval Arroxelas - Ponta Verde, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-ponta-verde-maceio-al-60m2-id-2655283452/",-9.658891927357,-35.706451580394
1,1,52,0,1,NA,1,0,2619943519,NA,1,1,1,0,2,1,0,0,1,162000,0,"Avenida Deputada Selma Bandeira, 33 - Antares, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-antares-maceio-al-52m2-id-2619943519/",-9.565587845384,-35.74120628627
1,NA,70,0,2,NA,1,1,2587926002,NA,1,1,1,0,3,1,0,0,NA,568749,0,"Rua Doutor Zeferino Rodrigues, 210 - Pajuçara, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pajucara-maceio-al-70m2-id-2587926002/",-9.669921258079,-35.719520993475
1,NA,77,0,3,NA,1,1,2618404003,NA,1,0,0,0,3,0,0,0,2,726235,0,"Rua Doutor Waldemiro Alencar Junior, 119 - Mangabeiras, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-mangabeiras-maceio-al-77m2-id-2618404003/",-9.611215597936,-35.752737973075
NA,NA,350,NA,6,2800,NA,NA,2612606896,NA,NA,NA,NA,NA,4,NA,NA,NA,5,7500000,NA,"Rua Prefeito Abdon Arroxelas, 1 - Ponta Verde, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-ponta-verde-maceio-al-350m2-id-2612606896/",-9.655887294203,-35.698668149042
1,NA,198,0,3,NA,0,1,2650077383,NA,1,1,0,0,4,1,0,0,3,2500000,1,"Rua Desportista Humberto Guimarães, 3 - Ponta Verde, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-ponta-verde-maceio-al-198m2-id-2650077383/",-9.662733982928,-35.706711773836
1,NA,350,0,5,2300,1,1,2544646080,NA,1,1,0,0,4,1,0,0,5,6800000,1,"Avenida Silvio Carlos Viana, 250 - Ponta Verde, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-ponta-verde-maceio-al-350m2-id-2544646080/",-9.663609997213,-35.704143197655
0,6,120,0,1,800,1,0,2642790722,NA,0,0,0,0,3,0,0,0,1,740000,0,"Avenida Álvaro Otacílio, 3781 - Ponta Verde, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-ponta-verde-maceio-al-120m2-id-2642790722/",-9.652020004416,-35.699170024925
0,4,86,0,4,580,1,0,2649909159,NA,1,1,0,0,3,1,0,0,2,680000,0,"Avenida General Luiz de França Albuquerque - Jacarecica, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jacarecica-maceio-al-86m2-id-2649909159/",-9.603038348365,-35.680916272975
NA,NA,115,NA,3,NA,NA,NA,2639203614,NA,NA,NA,NA,NA,3,NA,NA,NA,2,750000,NA,"Jatiúca, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jatiuca-maceio-al-115m2-id-2639203614/",-9.64834,-35.70767
1,7,90,0,3,770,1,0,2647150166,NA,1,1,1,0,3,1,0,0,2,670000,1,"Rua Raphael Perrelli, 20 - Jatiúca, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jatiuca-maceio-al-90m2-id-2647150166/",-9.649160015233,-35.708230024068
1,NA,67,0,3,NA,1,0,2648469500,NA,0,0,0,0,3,1,0,0,1,440000,0,"Rua Prefeito Abdon Arroxelas, 667 - Ponta Verde, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-ponta-verde-maceio-al-67m2-id-2648469500/",-9.655869980182,-35.704880028826
0,3,45,0,1,250,0,1,2652365041,500,1,1,1,0,2,1,0,0,1,179000,0,"Avenida Empresário Lourival Lôbo Ferreira, 100 - Petrópolis, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-petropolis-maceio-al-45m2-id-2652365041/",-9.610230014478,-35.753979960342
NA,NA,127,NA,4,813,NA,NA,2639569981,NA,NA,NA,NA,NA,3,NA,NA,NA,2,9e+05,NA,"Jatiúca, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jatiuca-maceio-al-127m2-id-2639569981/",-9.64834,-35.70767
0,NA,67,0,2,385,0,0,2652629293,NA,1,1,0,0,2,1,0,0,1,695000,0,"Avenida João Davino, 104 - Jatiúca, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jatiuca-maceio-al-67m2-id-2652629293/",-9.642699129823,-35.70930858392
1,NA,87,1,3,NA,1,1,2573060484,NA,1,1,0,1,3,1,1,1,2,679093,0,"Rua Aureliano Teixeira de Vasconcelos, 65 - Jatiúca, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jatiuca-maceio-al-87m2-id-2573060484/",-9.648720007226,-35.709710016711
0,3,67,1,2,473,1,0,2632499857,NA,1,1,1,0,2,0,0,0,1,695000,0,"Avenida João Davino, 11 - Jatiúca, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jatiuca-maceio-al-67m2-id-2632499857/",-9.643328666532,-35.699866915162
1,2,83,0,2,1,1,1,2620038298,1,1,1,1,1,3,1,0,0,2,867000,0,"Avenida Senador Rui Palmeira, 455 - Ponta da Terra, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-ponta-da-terra-maceio-al-83m2-id-2620038298/",-9.658133179409,-35.705657445493
NA,5,34,NA,2,NA,NA,NA,2649826158,NA,NA,NA,NA,NA,1,NA,NA,NA,1,345000,NA,"Avenida Menino Marcelo, 9350 - Serraria, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-serraria-maceio-al-34m2-id-2649826158/",-9.610591242792,-35.719715036817
NA,2,147,NA,4,1050,NA,NA,2569240008,3600,NA,NA,NA,NA,4,NA,NA,NA,2,1050000,NA,"Rua Deputado José Lages, 345 - Ponta Verde, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-ponta-verde-maceio-al-147m2-id-2569240008/",-9.656777284682,-35.699792450145
0,5,74,0,2,600,1,0,2632946554,1280,1,1,1,0,3,1,1,0,1,450000,0,"Rua Veterinário Isnaldo França Mata, 1 - Poço, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-poco-maceio-al-74m2-id-2632946554/",-9.66083,-35.72104
0,NA,67,0,2,350,1,0,2654758844,1,1,1,0,0,3,0,0,0,1,349430,0,"Rua Doutor Carlos Miranda, 100 - Poço, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-poco-maceio-al-67m2-id-2654758844/",-9.662016194969,-35.722350270881
0,NA,56,0,2,330,1,0,2655769394,NA,0,0,0,0,2,0,0,0,1,350000,0,"São Jorge, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-sao-jorge-maceio-al-56m2-id-2655769394/",-9.61878,-35.7067
NA,NA,73,NA,2,NA,NA,NA,2645314211,NA,NA,NA,NA,NA,3,NA,NA,NA,1,198000,NA,"Rua Em Projeto 5, 30 - Clima Bom, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-clima-bom-maceio-al-73m2-id-2645314211/",-9.582770019575,-35.774150004505
0,NA,87,0,3,NA,0,0,2648517117,NA,1,0,0,0,3,1,0,0,2,450000,0,"Rua Doutor Luiz de Mascarenhas, 18 - Farol, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-farol-maceio-al-87m2-id-2648517117/",-9.651040474104,-35.738877084279
NA,1,48,NA,1,280,NA,NA,2621798344,1000,NA,NA,NA,NA,2,NA,NA,NA,1,230000,NA,"Avenida Doutor Sebastião Correia da Rocha, 1165 - Tabuleiro do Martins, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-tabuleiro-do-martins-maceio-al-48m2-id-2621798344/",-9.588392357531,-35.76407497632
1,NA,52,0,2,300,1,0,2652859060,300,1,0,1,0,2,1,0,0,1,235000,0,"Avenida Menino Marcelo, 100 - Cidade Universitária, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-cidade-universitaria-maceio-al-52m2-id-2652859060/",-9.554313771804,-35.753209922604
0,2,103,1,3,1050,1,0,2654344364,1680,0,0,0,1,4,0,0,0,1,290000,0,"Avenida Amazonas, 57 - Prado, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-churrasqueira-prado-maceio-al-103m2-id-2654344364/",-9.66946999527,-35.746010027708
0,10,65,0,2,400,0,1,2633997218,NA,0,1,1,0,2,1,0,0,1,460000,0,"Rua Diégues Júnior, 113 - Poço, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-poco-maceio-al-65m2-id-2633997218/",-9.657660019425,-35.729119989895
0,2,50,0,2,600,0,0,2654209662,600,0,0,1,0,2,0,0,0,1,205000,0,"Avenida Comendador Leão, 100 - Poço, Maceió - AL","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-acesso-24-horas-poco-maceio-al-50m2-id-2654209662/",-9.657124983713,-35.72290266819
