academia,andar,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,vaga,valor,varanda_gourmet,url,tipo,endereco,latitude,longitude
,,480.0,,,,,,2644953362,,,,,,,,,,,240000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-itaupuacu-marica-rj-480m2-id-2644953362/,terrenos_lotes_e_condominios,"Rua A, 116 - Itaupuaçu, Maricá - RJ",-22.972009402027,-43.015026744405
1.0,,122.0,0.0,3.0,,0.0,1.0,2644949656,,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,540000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-piscina-ubatiba-marica-rj-122m2-id-2644949656/,sobrados,"Rodovia Vereador Oldemar Guedes Figueiredo, 4 - Ubatiba, Maricá - RJ",-22.902822602798,-42.801150136065
,1.0,92.0,,2.0,,,,2606340787,10.0,,,,,3.0,,,,6.0,520000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-itaipuacu-marica-rj-92m2-id-2606340787/,casas,"Rua Quarenta e Dois, 1 - Itaipuaçú, Maricá - RJ",-22.956703957181,-42.782834318407
0.0,1.0,85.0,1.0,3.0,,0.0,0.0,2591108697,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,550000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-jardim-atlantico-central-marica-rj-85m2-id-2591108697/,casas,"Rua Jupira Silva, 13 - Jardim Atlântico Central, Maricá - RJ",-22.967577200537,-42.950372857845
0.0,,101.0,1.0,2.0,800.0,0.0,0.0,2643782214,80.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,380000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-jacone-marica-rj-101m2-id-2643782214/,casas_de_condominio,"Avenida B, 19 - Jaconé, Maricá - RJ",-22.937260010716,-42.813189980953
0.0,,84.0,0.0,3.0,1.0,0.0,1.0,2639644542,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,414190.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-jardim-atlantico-leste-itaipuacu-marica-rj-84m2-id-2639644542/,casas,"Rua Sargento Lucas Ferreira, 100 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",-22.96667,-43.01667
0.0,,200.0,0.0,4.0,,0.0,0.0,2537984448,700.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,600000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-jardim-atlantico-central-marica-rj-200m2-id-2537984448/,casas,"Rua Sérgio Aguiar de Oliveira, 10 - Jardim Atlântico Central, Maricá - RJ",-22.9595,-42.95363
,,260.0,,4.0,551.0,,,2633279887,1000.0,,,,,4.0,,,,3.0,685000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-flamengo-marica-rj-260m2-id-2633279887/,casas_de_condominio,"Rodovia Ernani do Amaral Peixoto, 30115 - Flamengo, Maricá - RJ",-22.904877002938,-42.807585895783
1.0,,114.0,0.0,3.0,320.0,0.0,1.0,2617415322,900.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,520000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-cajueiro-marica-rj-114m2-id-2617415322/,casas_de_condominio,"Estrada Oscar Vieira da Costa Júnior, 4 - Cajueiro, Maricá - RJ",-22.947345525821,-42.937746444712
,,360.0,,,400.0,,,2643781869,500.0,,,,,,,,,,175000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cajueiro-marica-rj-360m2-id-2643781869/,terrenos_lotes_e_condominios,"Estrada Oscar Vieira da Costa Júnior, 111 - Cajueiro, Maricá - RJ",-22.941409456553,-42.93366260905
