"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
1,7,89,0,2,NA,1,1,2665843957,NA,1,1,1,1,3,1,0,0,1,2990,0,"Avenida dos Caiapós, 121 - Pitimbu, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-pitimbu-natal-rn-89m2-id-2665843957/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/4ec5e9d29613c5abdce5145f78985d2f/apartamento-com-3-quartos-para-alugar-89m-no-pitimbu-natal.jpg",-5.876320011856,-35.224630001571
0,3,49,0,1,NA,0,1,2670031412,NA,1,1,0,0,2,1,0,0,1,1400,0,"Avenida dos Caiapós - Pitimbu, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-pitimbu-natal-rn-49m2-id-2670031412/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ca73cb71a6a201fdbb560347397d81a3/apartamento-com-2-quartos-para-alugar-49m-no-pitimbu-natal.jpg",-5.866631696807,-35.237528918506
0,6,42,0,1,NA,1,0,2627272215,NA,1,0,0,0,1,0,0,0,1,2400,1,"Rua Praia de Jacumã, 9072 - Ponta Negra, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-ponta-negra-natal-rn-42m2-id-2627272215/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fea345a74112ab2fe136389e5d0e6d49/apartamento-com-1-quarto-para-alugar-42m-no-ponta-negra-natal.jpg",-5.875919985527,-35.181260022885
0,6,62,1,2,NA,0,0,2603656296,71,0,0,0,0,3,0,0,0,1,1700,0,"Rua Énico Monteiro, 1875 - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-capim-macio-natal-rn-62m2-id-2603656296/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/534cbda988b4e09fd73fd70701cfea7e/apartamento-com-3-quartos-para-alugar-62m-no-capim-macio-natal.jpg",-5.863450018625,-35.193329963457
0,4,56,0,2,NA,1,1,2642316486,NA,1,1,1,0,2,1,0,0,1,3500,0,"Rua Desportista Fabrício Gomes Pedroza, 70 - Ponta Negra, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-ponta-negra-natal-rn-56m2-id-2642316486/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6f48e4147ae94d691053aab458c2e2ab/apartamento-com-2-quartos-para-alugar-56m-no-ponta-negra-natal.jpg",-5.880573443788,-35.183689957647
NA,NA,70,NA,1,NA,NA,NA,2670990606,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1250,NA,"Rua Alice Azevedo, 200 - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-infraestrutura-internet-capim-macio-natal-rn-70m2-id-2670990606/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e8c1047d84b6ba00fd770505bc9d9f00/apartamento-com-2-quartos-para-alugar-70m-no-capim-macio-natal.jpg",-5.853930020637,-35.209650031854
0,NA,600,1,7,3000,1,0,2671323529,NA,1,0,0,1,4,1,0,0,4,8000,0,"Lagoa Nova, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-com-piscina-lagoa-nova-natal-rn-600m2-id-2671323529/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/5b9ae1299f0af2ca07da0a80285bed10/apartamento-com-4-quartos-para-alugar-600m-no-lagoa-nova-natal.jpg",-5.82526,-35.20968
NA,15,275,NA,6,1500,NA,NA,2568429905,4232,NA,NA,NA,NA,5,NA,NA,NA,4,5500,NA,"Tirol, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-tirol-natal-rn-275m2-id-2568429905/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/1adaceb5f9d2ecf5f5a94a9e460036bd/apartamento-com-5-quartos-para-venda-ou-aluguel-275m-no-tirol-natal.jpg",-5.80038,-35.20066
NA,8,200,NA,6,1700,NA,NA,2568427868,3200,NA,NA,NA,NA,5,NA,NA,NA,3,5000,NA,"Tirol, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-tirol-natal-rn-200m2-id-2568427868/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/42f3f89b41ffb0c121c2c585c15ed44a/apartamento-com-5-quartos-para-venda-ou-aluguel-200m-no-tirol-natal.jpg",-5.80038,-35.20066
1,14,67,0,1,51549,1,0,2665204401,190,1,1,1,0,2,1,0,0,2,2300,0,"Rua Antônio Madruga, 1959 - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-capim-macio-natal-rn-67m2-id-2665204401/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/738df143a5d80344c036a3e86b038f95/apartamento-com-2-quartos-para-alugar-67m-no-capim-macio-natal.jpg",-5.863939982776,-35.200170015544
1,NA,165,0,4,NA,1,0,2665716411,NA,1,1,1,1,3,1,0,0,3,650000,1,"Rua Antônio Farache, 1880 - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-capim-macio-natal-rn-165m2-id-2665716411/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b93740bdf67f6d45daf644efb8aee521/apartamento-com-3-quartos-para-venda-ou-aluguel-165m-no-capim-macio-natal.jpg",-5.859790018694,-35.198239998519
0,8,185,0,4,NA,1,1,2662899384,NA,1,0,1,0,3,1,0,0,2,13000,0,"Avenida Praia de Ponta Negra, 9152 - Ponta Negra, Natal - RN","coberturas","https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-mobiliado-ponta-negra-natal-rn-185m2-id-2662899384/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/151222b42ec00d9eb213b766ec4288b8/cobertura-com-3-quartos-para-venda-ou-aluguel-185m-no-ponta-negra-natal.jpg",-5.877160004283,-35.178410008167
NA,7,268,NA,5,1700,NA,NA,2568428386,3244,NA,NA,NA,NA,3,NA,NA,NA,2,4000,NA,"Petrópolis, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-petropolis-natal-rn-268m2-id-2568428386/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/cc99ee7b96a22ce1cc8db5b293964a69/apartamento-com-3-quartos-para-venda-ou-aluguel-268m-no-petropolis-natal.jpg",-5.78494,-35.20215
0,NA,530,1,5,NA,0,1,2611111589,NA,1,1,0,0,4,1,0,0,4,12500,0,"Avenida Antônio Basílio, 3784 - Lagoa Nova, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-mobiliado-lagoa-nova-natal-rn-530m2-id-2611111589/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/f3d6151bf8e92fbe89c5f80ba836a12f/apartamento-com-4-quartos-para-alugar-530m-no-lagoa-nova-natal.jpg",-5.816760010001,-35.202869994195
0,8,195,0,4,NA,1,1,2567785037,NA,1,0,0,0,3,0,0,0,NA,12000,1,"Avenida Praia de Ponta Negra, 9152 - Ponta Negra, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-ponta-negra-natal-rn-195m2-id-2567785037/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/31db4f5237d15a5b3a57d87312bec7b7/apartamento-com-3-quartos-para-alugar-195m-no-ponta-negra-natal.jpg",-5.877160004283,-35.178410008167
NA,NA,280,NA,3,NA,NA,NA,2625441974,NA,NA,NA,NA,NA,4,NA,NA,NA,4,4000,NA,"Rua Prefeito Sandoval Cavalcante de Albuquerque, 3687 - Candelária, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-closet-candelaria-natal-rn-280m2-id-2625441974/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8ae4985ab38236049dd4044c09617bea/casa-com-4-quartos-para-venda-ou-aluguel-280m-no-candelaria-natal.jpg",-5.850060012122,-35.214250020317
NA,NA,585,NA,7,NA,NA,NA,2591365793,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3800,NA,"Rua Luiz Antônio Bezerra Lopes, 36128 - Candelária, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-candelaria-natal-rn-585m2-id-2591365793/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/63e1000d2c4e6a2bb31d8504054c7004/casa-com-4-quartos-para-alugar-585m-no-candelaria-natal.jpg",-5.853357567589,-35.218109534216
NA,1,350,NA,5,NA,NA,NA,2664754240,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5000,NA,"Capim Macio, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-capim-macio-natal-rn-350m2-id-2664754240/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e2fadab437aae8d4c24cb7cbb60deacb/casa-com-5-quartos-para-alugar-350m-no-capim-macio-natal.jpg",-5.84776,-35.20002
1,NA,60,0,1,NA,0,0,2668890109,NA,0,0,0,0,2,0,0,0,1,900,0,"Rua São Pedro, 180 - Ponta Negra, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-academia-ponta-negra-natal-rn-60m2-id-2668890109/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/439d79bdf8eeb8644fe2964929317003/casa-com-2-quartos-para-alugar-60m-no-ponta-negra-natal.jpg",-5.892210004801,-35.172490037592
NA,NA,360,NA,3,NA,NA,NA,2633549330,3200,NA,NA,NA,NA,4,NA,NA,NA,2,4000,NA,"Rua Raimundo Chaves, 1561 - Candelária, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-4-quartos-com-varanda-candelaria-natal-rn-360m2-id-2633549330/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/296264b192874739b2b508663af6fdd8/casa-com-4-quartos-para-alugar-360m-no-candelaria-natal.jpg",-5.828170001427,-35.225399963197
