"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,NA,51,0,2,NA,1,0,2607023416,NA,1,0,0,0,2,1,0,0,1,335000,0,"Rua Presbítero Porfírio Gomes da Silva, 1372 - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-capim-macio-natal-rn-51m2-id-2607023416/",-5.866859986385,-35.194390022752
1,NA,56,0,2,450,1,1,2652416565,1000,1,1,1,1,2,1,0,0,1,260000,0,"Rua das Perdizes, 7979 - Pitimbu, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-pitimbu-natal-rn-56m2-id-2652416565/",-5.874380020366,-35.224579961609
1,NA,70,1,2,391,1,0,2558233040,1700,1,0,1,0,3,1,0,0,2,429999,0,"Nossa Senhora de Nazaré, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-nossa-senhora-de-nazare-natal-rn-70m2-id-2558233040/",-5.8166,-35.23214
1,NA,58,1,2,670,1,0,2623627346,2200,1,0,0,1,2,1,0,0,2,422000,0,"Rua Neuza Farache - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-capim-macio-natal-rn-58m2-id-2623627346/",-5.860030598816,-35.199781419455
1,NA,57,0,2,298,1,1,2635576012,1700,1,1,0,1,2,1,1,0,1,349899,0,"Rua Estudante José Francisco de Souza Filho, 245 - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-capim-macio-natal-rn-57m2-id-2635576012/",-5.854456558194,-35.209024088105
1,12,67,0,1,460,1,1,2596258057,1500,1,1,0,1,2,1,0,0,1,350000,0,"Rua Lúcia Viveiros, 255 - Neópolis, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-neopolis-natal-rn-67m2-id-2596258057/",-5.866017784938,-35.216473498667
0,NA,135,0,3,1200,1,0,2620411139,2500,1,0,1,0,4,0,0,0,2,350000,0,"Rua São José, 2028 - Lagoa Nova, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-lagoa-nova-natal-rn-135m2-id-2620411139/",-5.823427244613,-35.216812831388
0,NA,55,0,1,530,0,0,2538866644,1080,1,0,0,0,2,0,0,0,1,399000,0,"Rua das Algas, 2150 - Ponta Negra, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-ponta-negra-natal-rn-55m2-id-2538866644/",-5.878939985241,-35.177090026055
1,17,153,1,4,800,1,1,2650681962,2800,1,1,0,1,3,1,0,0,2,675000,1,"Rua Lúcia Viveiros - Neópolis, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-neopolis-natal-rn-153m2-id-2650681962/",-5.866017784938,-35.216473498667
1,NA,55,1,1,340,1,1,2646333400,1990,1,1,0,1,2,1,0,0,1,395000,0,"Rua Antônio Madruga, 1959 - Capim Macio, Natal - RN","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-capim-macio-natal-rn-55m2-id-2646333400/",-5.863939982776,-35.200170015544
