"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,NA,47,0,1,280,1,1,2647293074,1,1,1,1,0,2,0,0,0,1,235000,0,"Quadra ARSE 82 Alameda 1, 10 - Plano Diretor Sul, Palmas - TO","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-plano-diretor-sul-palmas-to-47m2-id-2647293074/",-10.177799984896,-48.309029968599
0,1,52,1,1,350,0,0,2647566262,NA,0,0,0,0,2,0,0,0,1,180000,0,"Plano Diretor Sul, Palmas - TO","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-plano-diretor-sul-palmas-to-52m2-id-2647566262/",-10.21242,-48.3312
1,20,113,0,4,650,1,1,2631669020,800,1,1,0,1,3,1,0,0,2,1200000,0,"Orla 14 Avenida Orla, 67 - Graciosa - Orla 14 , Palmas - TO","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-graciosa-orla-14-palmas-to-113m2-id-2631669020/",-10.21242,-48.3312
NA,NA,120,NA,3,NA,NA,NA,2648033005,NA,NA,NA,NA,NA,3,NA,NA,NA,2,460000,NA,"Quadra ARSO 102 Alameda 19, 12 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-plano-diretor-sul-palmas-to-120m2-id-2648033005/",-10.247180014964,-48.345889974547
NA,NA,200,NA,2,NA,NA,NA,2652656021,NA,NA,NA,NA,NA,3,NA,NA,NA,4,220000,NA,"Plano Diretor Norte, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-norte-palmas-to-200m2-id-2652656021/",-10.21242,-48.3312
NA,NA,103,NA,4,NA,NA,NA,2634938791,NA,NA,NA,NA,NA,3,NA,NA,NA,2,489000,NA,"ARSO 31 Alameda 2, 2 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-103m2-id-2634938791/",-10.201428009636,-48.342877480039
NA,NA,93,NA,1,NA,NA,NA,2624608868,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,260000,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-plano-diretor-sul-palmas-to-93m2-id-2624608868/",-10.21242,-48.3312
NA,NA,100,NA,1,NA,NA,NA,2636616095,NA,NA,NA,NA,NA,3,NA,NA,NA,2,160000,NA,"Quadra ARNO 72 Alameda 20, 9 - Plano Diretor Norte, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-norte-palmas-to-100m2-id-2636616095/",-10.234990003628,-48.320700008571
0,NA,233,0,4,NA,0,1,2606449673,1,1,0,0,0,3,0,0,0,2,750000,0,"ARSO 34 Rua 15, 0240 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-233m2-id-2606449673/",-10.19981890524,-48.355859914844
NA,NA,126,NA,2,NA,NA,NA,2647286116,450,NA,NA,NA,NA,3,NA,NA,NA,3,470000,NA,"Quadra ARSO 101 Alameda 12, 1 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-126m2-id-2647286116/",-10.244899360466,-48.340907659285
0,NA,110,1,2,NA,0,0,2578274775,500,0,0,0,0,3,0,0,0,2,550000,0,"ARSO 33 Rua 1, 1 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-armario-de-cozinha-plano-diretor-sul-palmas-to-110m2-id-2578274775/",-10.203463549576,-48.355100750333
NA,NA,100,NA,1,NA,NA,NA,2638550217,NA,NA,NA,NA,NA,2,NA,NA,NA,3,2e+05,NA,"Quadra ARNO 43 Alameda 7, 12 - Plano Diretor Norte, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-plano-diretor-norte-palmas-to-100m2-id-2638550217/",-10.161210019217,-48.349280035286
NA,NA,85,NA,1,NA,NA,NA,2651912058,400,NA,NA,NA,NA,2,NA,NA,NA,1,280000,NA,"Quadra ARNE 71 Alameda 10, 1 - Plano Diretor Norte, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-plano-diretor-norte-palmas-to-85m2-id-2651912058/",-10.225889980898,-48.326889960248
NA,NA,117,NA,1,NA,NA,NA,2633301884,NA,NA,NA,NA,NA,3,NA,NA,NA,2,570000,NA,"Plano Diretor Norte, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-plano-diretor-norte-palmas-to-117m2-id-2633301884/",-10.21242,-48.3312
NA,NA,158,NA,3,NA,NA,NA,2551656854,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,695000,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-158m2-id-2551656854/",-10.21242,-48.3312
NA,NA,270,NA,5,NA,NA,NA,2574716100,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1390000,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-270m2-id-2574716100/",-10.21242,-48.3312
NA,NA,284,NA,3,NA,NA,NA,2655056580,NA,NA,NA,NA,NA,3,NA,NA,NA,4,690000,NA,"ARSE 12 Alameda 20, 7 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-284m2-id-2655056580/",-10.189000009647,-48.321559991837
0,NA,377,1,6,NA,0,0,2623426753,1500,1,0,0,0,5,0,0,0,6,1650000,0,"ARSO 32 Rua 1 A, 1 - Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-5-quartos-com-piscina-plano-diretor-sul-palmas-to-377m2-id-2623426753/",-10.199222126022,-48.346627675712
0,NA,252,0,4,NA,0,0,2645783272,1,1,0,0,0,3,0,0,0,2,850000,0,"ARSE 14 Alameda 19, 0391 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-252m2-id-2645783272/",-10.181739982302,-48.320579979718
0,NA,182,0,5,NA,0,0,2623427241,500,1,0,0,0,3,0,0,0,3,699992,0,"ARSO 53 Avenida NS 7, 16 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-182m2-id-2623427241/",-10.21352018407,-48.349715628238
0,NA,142,0,3,NA,0,0,2581679181,650,1,0,0,0,3,0,0,0,2,599000,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-142m2-id-2581679181/",-10.21242,-48.3312
NA,NA,141,NA,2,NA,NA,NA,2583230725,650,NA,NA,NA,NA,3,NA,NA,NA,2,740000,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-plano-diretor-sul-palmas-to-141m2-id-2583230725/",-10.21242,-48.3312
0,NA,128,1,2,NA,0,0,2604612418,NA,1,0,0,0,3,0,0,0,3,690000,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-128m2-id-2604612418/",-10.21242,-48.3312
NA,1,155,NA,3,NA,NA,NA,2636102578,NA,NA,NA,NA,NA,3,NA,NA,NA,2,790000,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-155m2-id-2636102578/",-10.21242,-48.3312
NA,NA,109,NA,2,NA,NA,NA,2584282454,NA,NA,NA,NA,NA,3,NA,NA,NA,2,580000,NA,"ARSO 32 Rua 5, 0 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-109m2-id-2584282454/",-10.203840292599,-48.346106803623
NA,NA,104,NA,1,NA,NA,NA,2630472587,NA,NA,NA,NA,NA,2,NA,NA,NA,2,6e+05,NA,"ARSO 43 Alameda 10, 10 - Centro, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-centro-palmas-to-104m2-id-2630472587/",-10.209179986366,-48.351910025045
NA,NA,450,NA,1,NA,NA,NA,2652230379,NA,NA,NA,NA,NA,3,NA,NA,NA,3,6e+05,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-450m2-id-2652230379/",-10.21242,-48.3312
0,NA,720,1,3,NA,0,0,2559740638,NA,1,0,0,0,3,0,0,0,3,880000,0,"ARSE 14 Alameda 1, 01 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-720m2-id-2559740638/",-10.185399982233,-48.312639970478
NA,NA,147,NA,1,NA,NA,NA,2648994375,726,NA,NA,NA,NA,3,NA,NA,NA,1,6e+05,NA,"ARSO 42 Alameda 18, 2 - Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-plano-diretor-sul-palmas-to-147m2-id-2648994375/",-10.206725955089,-48.348798588324
0,NA,118,1,1,NA,0,0,2623894197,NA,0,0,0,0,2,0,0,0,2,450000,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-plano-diretor-sul-palmas-to-118m2-id-2623894197/",-10.21242,-48.3312
0,NA,360,1,2,NA,0,0,2645621698,NA,0,0,0,0,3,0,0,0,4,530000,1,"Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-plano-diretor-sul-palmas-to-360m2-id-2645621698/",-10.21242,-48.3312
NA,NA,133,NA,3,NA,NA,NA,2578547457,800,NA,NA,NA,NA,3,NA,NA,NA,2,580000,NA,"Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-ar-condicionado-plano-diretor-sul-palmas-to-133m2-id-2578547457/",-10.21242,-48.3312
0,NA,395,0,6,700,1,1,2645917774,1,1,0,0,0,4,0,0,1,3,3500000,0,"ARSO 24 Avenida NS 9, 0392 - Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-piscina-plano-diretor-sul-palmas-to-395m2-id-2645917774/",-10.195075003521,-48.354215006509
0,NA,158,1,1,NA,0,0,2640329163,NA,1,0,0,0,3,0,0,0,3,790000,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-158m2-id-2640329163/",-10.21242,-48.3312
0,NA,200,0,3,NA,0,0,2578591705,900,0,0,0,0,3,0,0,0,2,1150000,1,"Quadra ARSO 52 Alameda 10, 100 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-laje-plano-diretor-sul-palmas-to-200m2-id-2578591705/",-10.232367730777,-48.31963781117
NA,NA,222,NA,3,NA,NA,NA,2652097067,NA,NA,NA,NA,NA,3,NA,NA,NA,2,660000,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-222m2-id-2652097067/",-10.21242,-48.3312
0,NA,200,0,3,NA,0,1,2569226060,NA,1,0,0,0,3,0,0,0,2,1100000,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-200m2-id-2569226060/",-10.21242,-48.3312
0,NA,107,1,2,NA,0,0,2640062861,NA,1,0,0,0,3,0,0,0,3,588000,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-107m2-id-2640062861/",-10.21242,-48.3312
0,NA,141,1,1,NA,0,0,2604619178,NA,1,0,0,0,3,0,0,0,4,6e+05,1,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-141m2-id-2604619178/",-10.21242,-48.3312
0,NA,107,1,3,200,0,0,2636918086,NA,0,0,0,0,3,0,0,0,1,390000,0,"ARSO 62 Alameda 16 - Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-ar-condicionado-plano-diretor-sul-palmas-to-107m2-id-2636918086/",-10.218357552585,-48.346020240718
0,NA,194,0,4,NA,0,0,2642330808,500,0,0,0,0,3,0,0,0,3,1350000,1,"ARSO 23 Alameda 1, 1 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-americana-plano-diretor-sul-palmas-to-194m2-id-2642330808/",-10.192879992627,-48.317519998326
0,NA,140,1,3,NA,0,0,2579372910,650,0,0,0,0,3,0,0,0,2,525000,1,"Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-plano-diretor-sul-palmas-to-140m2-id-2579372910/",-10.21242,-48.3312
0,NA,182,1,3,NA,0,0,2651128586,1000,0,0,0,0,3,0,0,0,3,7e+05,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-plano-diretor-sul-palmas-to-182m2-id-2651128586/",-10.21242,-48.3312
NA,NA,198,NA,4,NA,NA,NA,2639372909,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1100000,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-frente-para-o-mar-plano-diretor-sul-palmas-to-198m2-id-2639372909/",-10.21242,-48.3312
0,NA,120,1,3,NA,0,0,2578800617,NA,0,0,0,0,3,0,0,0,2,530000,0,"Quadra ARSO 52 Alameda 19 - Plano Diretor Expansao Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-plano-diretor-expansao-sul-palmas-to-120m2-id-2578800617/",-10.254750005088,-48.323115640212
0,NA,70,1,1,NA,0,0,2650131594,NA,0,0,0,0,2,0,0,0,2,280000,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-plano-diretor-sul-palmas-to-70m2-id-2650131594/",-10.21242,-48.3312
NA,NA,170,NA,3,NA,NA,NA,2641729908,800,NA,NA,NA,NA,3,NA,NA,NA,2,750000,NA,"Plano Diretor Norte, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-norte-palmas-to-170m2-id-2641729908/",-10.21242,-48.3312
0,NA,198,1,3,NA,0,0,2653017061,680,0,0,0,0,3,0,0,0,4,1280000,0,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-lavabo-plano-diretor-sul-palmas-to-198m2-id-2653017061/",-10.21242,-48.3312
0,NA,220,1,2,NA,0,0,2654168454,NA,0,0,0,0,3,0,0,0,NA,599000,0,"Plano Diretor Norte, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-plano-diretor-norte-palmas-to-220m2-id-2654168454/",-10.21242,-48.3312
NA,NA,284,NA,7,NA,NA,NA,2576933012,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2300000,NA,"Graciosa - Orla 14 , Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-graciosa-orla-14-palmas-to-284m2-id-2576933012/",-10.21242,-48.3312
0,NA,157,1,4,NA,0,0,2584235860,660,0,0,0,0,3,0,0,0,2,870000,1,"ARSO 43 Alameda 10, 100 - Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-area-de-servico-plano-diretor-sul-palmas-to-157m2-id-2584235860/",-10.209270191753,-48.351525085811
0,NA,144,1,3,NA,0,0,2641746348,NA,1,0,0,0,3,0,0,0,NA,690000,0,"Quadra ARSO 102 Alameda 19 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-144m2-id-2641746348/",-10.254750005088,-48.323115640212
0,NA,103,1,3,NA,0,0,2642649205,NA,1,0,0,0,3,0,0,0,2,580000,0,"ARSO 33 Alameda 2 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-103m2-id-2642649205/",-10.256590000473,-48.322969995589
0,NA,148,1,3,NA,0,0,2614988039,NA,1,0,0,0,3,0,0,0,NA,6e+05,0,"Quadra ARSE 152 QD 12 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-148m2-id-2614988039/",-10.21242,-48.3312
0,NA,134,1,3,NA,0,0,2651014566,600,1,0,0,0,3,0,0,0,2,720000,0,"ARSO 61 Alameda 1, 1 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-134m2-id-2651014566/",-10.220250007799,-48.327220039595
NA,NA,160,NA,3,NA,NA,NA,2628560788,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,780000,NA,"Plano Diretor Sul, Palmas - TO","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-plano-diretor-sul-palmas-to-160m2-id-2628560788/",-10.21242,-48.3312
NA,NA,280,NA,5,NA,NA,NA,2605048578,NA,NA,NA,NA,NA,4,NA,NA,NA,2,2500000,NA,"Loteamento Residencial Polinésia, 0 - Loteamento Residencial Polinesia, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-loteamento-residencial-polinesia-palmas-to-280m2-id-2605048578/",-10.21242,-48.3312
0,NA,170,0,3,NA,0,0,2606908973,NA,1,0,0,0,3,0,0,0,2,8e+05,0,"ARSO 43 Alameda 11, 1 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-170m2-id-2606908973/",-10.209688941111,-48.351383460154
0,NA,207,0,4,NA,0,0,2639705484,NA,1,0,0,0,3,0,0,0,4,1350000,1,"ARSE 13 Alameda 1, 0 - Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-plano-diretor-sul-palmas-to-207m2-id-2639705484/",-10.221580006285,-48.337570013636
NA,NA,193,NA,4,NA,NA,NA,2591784488,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1200000,NA,"Plano Diretor Sul, Palmas - TO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-plano-diretor-sul-palmas-to-193m2-id-2591784488/",-10.21242,-48.3312
