"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,4,45,0,1,NA,0,1,2613799141,NA,1,1,1,1,2,1,0,0,1,140000,0,"Rua Miguel de Cervante, 117 - Aeroclub, Porto Velho - RO","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aeroclub-porto-velho-ro-45m2-id-2613799141/",-8.802058766097,-63.850264854619
1,9,75,0,1,1,0,0,2600500308,1,1,1,1,1,2,1,0,0,1,140000,0,"Rua Miguel de Cervante, 407 - Aeroclub, Porto Velho - RO","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aeroclub-porto-velho-ro-75m2-id-2600500308/",-8.800902505885,-63.84963799747
0,NA,48,1,1,210,0,0,2605185878,NA,1,1,0,1,3,0,0,0,1,240000,1,"Planalto, Porto Velho - RO","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-planalto-porto-velho-ro-48m2-id-2605185878/",-8.74058,-63.84822
1,NA,67,0,2,NA,0,1,2575869950,NA,1,1,1,0,3,1,0,0,2,320000,0,"Rua Ernandes Indio, 6521 - Planalto, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-planalto-porto-velho-ro-67m2-id-2575869950/",-8.735914268318,-63.837604494163
NA,NA,68,NA,2,NA,NA,NA,2647388503,NA,NA,NA,NA,NA,2,NA,NA,NA,1,355000,NA,"Rua Maria Naymaier - Flodoaldo Pontes Pinto, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-flodoaldo-pontes-pinto-porto-velho-ro-68m2-id-2647388503/",-8.749398304415,-63.870681547897
0,NA,78,0,2,300,0,1,2654583069,NA,0,1,0,0,3,0,0,0,2,407000,1,"Novo Horizonte, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-novo-horizonte-porto-velho-ro-78m2-id-2654583069/",-8.80156,-63.8946
0,NA,51,1,1,NA,0,0,2625737817,NA,0,0,0,0,2,0,0,0,2,160000,0,"Rua Alto do Bronze, 25 - Socialista, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-quintal-socialista-porto-velho-ro-51m2-id-2625737817/",-8.759811029365,-63.825830965671
NA,NA,100,NA,1,NA,NA,NA,2650033457,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2e+05,NA,"Rua da Emoção, 4644 - Escola De Policia, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-escola-de-policia-porto-velho-ro-100m2-id-2650033457/",-8.753379987904,-63.845109959992
NA,NA,200,NA,3,NA,NA,NA,2644268308,NA,NA,NA,NA,NA,4,NA,NA,NA,2,249990,NA,"Três Marias, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-varanda-tres-marias-porto-velho-ro-200m2-id-2644268308/",-8.77958,-63.85694
0,NA,100,1,2,NA,0,0,2605184122,NA,0,0,0,0,3,0,0,0,3,280000,0,"Nova Esperança, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-nova-esperanca-porto-velho-ro-100m2-id-2605184122/",-8.72702,-63.89266
0,NA,250,1,2,NA,0,0,2645940087,NA,0,0,0,0,4,0,0,0,4,550000,0,"Eldorado, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-cozinha-eldorado-porto-velho-ro-250m2-id-2645940087/",-8.78092,-63.86663
0,NA,90,1,2,NA,0,0,2642657776,NA,0,0,0,0,2,0,0,0,1,250000,0,"Aponiã, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-aponia-porto-velho-ro-90m2-id-2642657776/",-8.74344,-63.86143
NA,NA,100,NA,3,NA,NA,NA,2566744792,NA,NA,NA,NA,NA,2,NA,NA,NA,2,330000,NA,"Avenida Engº Anysio da Rocha Compasso, 4366 - Flodoaldo Pontes Pinto, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-flodoaldo-pontes-pinto-porto-velho-ro-100m2-id-2566744792/",-8.74561,-63.87146
0,NA,72,0,2,NA,0,1,2646834255,NA,1,1,0,1,3,1,0,0,NA,275000,0,"Aeroclub, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-aeroclub-porto-velho-ro-72m2-id-2646834255/",-8.80489,-63.86494
0,NA,240,1,1,NA,0,0,2605185583,NA,0,0,0,0,3,0,0,0,2,250000,1,"Aponiã, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-varanda-gourmet-aponia-porto-velho-ro-240m2-id-2605185583/",-8.74344,-63.86143
NA,NA,200,NA,2,NA,NA,NA,2570147838,150,NA,NA,NA,NA,2,NA,NA,NA,1,450000,NA,"Rua Marlos Nobre - Flodoaldo Pontes Pinto, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-flodoaldo-pontes-pinto-porto-velho-ro-200m2-id-2570147838/",-8.741750107962,-63.867054939729
0,NA,96,1,2,NA,0,0,2599676065,NA,0,0,0,0,2,0,0,0,2,420000,0,"Avenida Engº Anysio da Rocha Compasso, 647 - Aponiã, Porto Velho - RO","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-aponia-porto-velho-ro-96m2-id-2599676065/",-8.73416334075,-63.864059002895
