academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,foto_imovel,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
0,,60.0,1.0,2.0,580.0,1.0,"Rua Francisco da Cunha, 1038 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b920393678ec49a07d29ebcb12b9ade3/apartamento-com-2-quartos-a-venda-60m-no-boa-viagem-recife.jpg,2631143194,,0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-boa-viagem-recife-pe-60m2-id-2631143194/,1.0,450000.0,0
1.0,3.0,47.0,1.0,2.0,1.0,1.0,"Rua Carlos Pereira Falcão, 978 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/914472d28085e5944936696bd1034f7c/apartamento-com-2-quartos-a-venda-47m-no-boa-viagem-recife.jpg,2660113505,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-boa-viagem-recife-pe-47m2-id-2660113505/,1.0,409000.0,1.0
1.0,2.0,42.0,0,2.0,,1.0,"Rua dos Navegantes, 1847 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e45578a7ea58ad84a7d321316c5def68/apartamento-com-2-quartos-a-venda-42m-no-boa-viagem-recife.jpg,2668845294,,1.0,0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-boa-viagem-recife-pe-42m2-id-2668845294/,1.0,470000.0,1.0
0,22.0,400.0,0,5.0,2000.0,1.0,"Rua Visconde de Jequitinhonha, 1418 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2ea7f10b84352a92ec2ed65d7a3381db/cobertura-com-4-quartos-a-venda-400m-no-boa-viagem-recife.jpg,2621791974,,0,1.0,1.0,1.0,4.0,1.0,0,0,coberturas,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-com-churrasqueira-boa-viagem-recife-pe-400m2-id-2621791974/,4.0,1598000.0,0
,3.0,68.0,,1.0,650.0,,"Estrada do Arraial, 2830 - Casa Amarela, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/3f4e2ea19336819a75497f3527d5b96c/apartamento-com-3-quartos-a-venda-68m-no-casa-amarela-recife.jpg,2653649868,1440.0,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-casa-amarela-recife-pe-68m2-id-2653649868/,1.0,360000.0,
1.0,,59.0,0,1.0,,1.0,"Rua Doutor Batista de Carvalho, 1 - Madalena, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/22418a01987345e25a7375d781f79651/apartamento-com-3-quartos-a-venda-59m-no-madalena-recife.jpg,2630463776,,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-madalena-recife-pe-59m2-id-2630463776/,1.0,434000.0,1.0
0,7.0,114.0,1.0,1.0,1100.0,1.0,"Rua do Futuro, 122 - Graças, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/554a5780c85f305fe4dea0094aeff4c8/apartamento-com-3-quartos-a-venda-114m-no-gracas-recife.jpg,2582173714,156.0,0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-gracas-recife-pe-114m2-id-2582173714/,1.0,385000.0,0
1.0,,40.0,0,1.0,1.0,1.0,"Rua Alameda das Hortências, 3 - Imbiribeira, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/118a823164eef7d8584560ddef813b93/apartamento-com-2-quartos-a-venda-40m-no-imbiribeira-recife.jpg,2648203312,1.0,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-imbiribeira-recife-pe-40m2-id-2648203312/,1.0,247000.0,0
0,,155.0,1.0,2.0,,1.0,"Rua Visconde de Jequitinhonha - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/eb5a558ff5bd4ebf4df05d7b411b456a/apartamento-com-4-quartos-a-venda-155m-no-boa-viagem-recife.jpg,2656552664,,1.0,0,0,0,4.0,0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-boa-viagem-recife-pe-155m2-id-2656552664/,3.0,1600000.0,0
,,122.0,,3.0,,,"Avenida Dezessete de Agosto - Casa Forte, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/098305a1d529ac09089d613978e00364/apartamento-com-3-quartos-a-venda-122m-no-casa-forte-recife.jpg,2567110272,,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-casa-forte-recife-pe-122m2-id-2567110272/,2.0,1335812.0,
