"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
1,11,64,0,2,580,1,0,2625989362,150,1,1,1,1,3,1,0,0,1,450000,0,"Rua Vicente Zírpoli, 142 - Caxangá, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-caxanga-recife-pe-64m2-id-2625989362/",-8.030967968066,-34.953234789788
0,4,61,0,2,650,0,0,2618345196,100,1,1,0,0,2,1,0,0,1,379999,1,"Rua Antônio Vieira, 250 - Madalena, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-madalena-recife-pe-61m2-id-2618345196/",-8.048738988802,-34.912205130646
0,4,73,0,3,700,1,0,2629292137,NA,0,1,1,0,3,1,0,0,1,320000,0,"Rua Mário Sete, 176 - Campo Grande, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-campo-grande-recife-pe-73m2-id-2629292137/",-8.030507301597,-34.880493566514
1,NA,43,1,1,300,0,0,2600780155,70,1,1,0,1,2,1,1,0,1,3e+05,0,"Rua José de Holanda, 890 - Torre, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-torre-recife-pe-43m2-id-2600780155/",-8.045370014406,-34.912160027266
NA,NA,49,NA,2,1,NA,NA,2643766168,1,NA,NA,NA,NA,2,NA,NA,NA,1,283700,NA,"Avenida Liberdade, 54 - Sancho, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sancho-recife-pe-49m2-id-2643766168/",-8.083504699266,-34.957499901072
1,1,63,0,2,10,0,1,2639249190,10,0,0,1,0,3,0,0,0,1,430000,0,"Rua Alfredo Osório, 155 - Tamarineira, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-academia-tamarineira-recife-pe-63m2-id-2639249190/",-8.029163225367,-34.906598910408
0,NA,300,1,4,NA,0,0,2637983541,450,0,0,0,0,4,0,0,0,4,520000,0,"Rua Costa Sepúlveda, 217 - Engenho do Meio, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-engenho-do-meio-recife-pe-300m2-id-2637983541/",-8.054129983324,-34.941480008392
NA,3,58,NA,2,1,NA,NA,2575929333,1,NA,NA,NA,NA,2,NA,NA,NA,1,283700,NA,"Avenida Liberdade, 54 - Sancho, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sancho-recife-pe-58m2-id-2575929333/",-8.083504699266,-34.957499901072
1,3,67,1,2,7,1,1,2649622753,7,1,1,1,0,3,1,0,0,1,610008,1,"Rua Abdísio Veiga, 101 - Ilha do Retiro, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-ilha-do-retiro-recife-pe-67m2-id-2649622753/",-8.062736882224,-34.905604421682
0,5,74,1,2,590,1,1,2646144466,2700,1,1,1,1,3,1,0,0,1,560000,0,"Rua Izabel Magalhães, 701 - Boa Viagem, Recife - PE","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-74m2-id-2646144466/",-8.138947363524,-34.906839071494
