"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
NA,1,59,NA,1,NA,NA,NA,2669262795,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2200,NA,"Paz, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-paz-rio-branco-ac-59m2-id-2669262795/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/082a28cb9cd5a9fe053795dab2e11ccb/apartamento-com-1-quarto-para-alugar-59m-no-paz-rio-branco.jpg",-9.9522,-67.84486
0,1,40,1,1,NA,0,0,2663440216,NA,0,1,0,0,2,0,0,0,1,1200,0,"Rua Aderbal Brasil, 460 - Conjunto Manoel Juliao, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-conjunto-manoel-juliao-rio-branco-ac-40m2-id-2663440216/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/aaaf8b9a1ff8637140ac1ec7fb7ae29b/apartamento-com-2-quartos-para-venda-ou-aluguel-40m-no-conjunto-manoel-juliao-rio-branco.jpg",-9.954511686484,-67.834058811454
NA,1,119,NA,3,NA,NA,NA,2668209097,NA,NA,NA,NA,NA,3,NA,NA,NA,2,3200,NA,"Avenida Antônio da Rocha Viana, 2684 - Vila Ivonete, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-vila-ivonete-rio-branco-ac-119m2-id-2668209097/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/048cf8f101d611101626ed8d846b5a9b/apartamento-com-3-quartos-para-alugar-119m-no-vila-ivonete-rio-branco.jpg",-9.951806978897,-67.824104906774
0,NA,63,0,2,440,1,1,2668457144,NA,0,1,0,0,2,0,0,0,2,2800,0,"Centro, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-centro-rio-branco-ac-63m2-id-2668457144/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/266f9cae0135ddbe7b0e4fb39f3007e9/apartamento-com-2-quartos-para-venda-ou-aluguel-63m-no-centro-rio-branco.jpg",-9.97107,-67.81032
NA,NA,50,NA,1,298,NA,NA,2652942789,45,NA,NA,NA,NA,2,NA,NA,NA,1,2500,NA,"Floresta Sul, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-floresta-sul-rio-branco-ac-50m2-id-2652942789/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/22418b9d11f2d625edc402809d194943/apartamento-com-2-quartos-para-alugar-50m-no-floresta-sul-rio-branco.jpg",-9.99108,-67.84832
0,NA,50,1,2,NA,1,1,2658465725,NA,1,1,0,1,2,0,0,0,2,2850,0,"Centro, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-centro-rio-branco-ac-50m2-id-2658465725/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/074751ec63f71e52a3d68f0dea56c002/apartamento-com-2-quartos-para-alugar-50m-no-centro-rio-branco.jpg",-9.97107,-67.81032
NA,NA,40,NA,1,NA,NA,NA,2668455173,25,NA,NA,NA,NA,1,NA,NA,NA,NA,1200,NA,"Nova Esperanca, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-nova-esperanca-rio-branco-ac-40m2-id-2668455173/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e384ff055fab60d4d0c1ad47932550d4/apartamento-com-1-quarto-para-alugar-40m-no-nova-esperanca-rio-branco.jpg",-9.97461,-67.84142
NA,NA,47,NA,1,NA,NA,NA,2670145231,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2500,NA,"Floresta Sul, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-floresta-sul-rio-branco-ac-47m2-id-2670145231/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6b115b903a3764e269c8d3572276b050/apartamento-com-2-quartos-para-alugar-47m-no-floresta-sul-rio-branco.jpg",-9.99108,-67.84832
NA,NA,70,NA,1,NA,NA,NA,2659180053,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1200,NA,"Conjunto Mariana, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-conjunto-mariana-rio-branco-ac-70m2-id-2659180053/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/562e22b2eef51ed5fbec3d5fbdff3fd0/apartamento-com-2-quartos-para-alugar-70m-no-conjunto-mariana-rio-branco.jpg",-9.95655,-67.85016
0,10,301,0,5,NA,1,0,2645679567,NA,0,0,0,0,5,0,0,0,4,8500,0,"Jardim Manoel Juliao, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-mobiliado-jardim-manoel-juliao-rio-branco-ac-301m2-id-2645679567/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8792486a0e1030bf98cbca1162cd4c5c/apartamento-com-5-quartos-para-venda-ou-aluguel-301m-no-jardim-manoel-juliao-rio-branco.jpg",-9.95926,-67.82307
