"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
0,3,55,1,1,317,0,0,2670420493,NA,0,0,0,1,3,0,0,0,1,260000,1,"Floresta Sul, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-floresta-sul-rio-branco-ac-55m2-id-2670420493/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bac6220ddfeb8a2a90d7661d19d4e266/apartamento-com-3-quartos-a-venda-55m-no-floresta-sul-rio-branco.jpg",-9.99108,-67.84832
NA,NA,105,NA,4,NA,NA,NA,2662269453,NA,NA,NA,NA,NA,3,NA,NA,NA,2,320000,NA,"Rua Quinta das Flores, 98 - Loteamento Santa Helena, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-loteamento-santa-helena-rio-branco-ac-105m2-id-2662269453/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fbb449472ec4e1a28b5dce825a57caf6/apartamento-com-3-quartos-a-venda-105m-no-loteamento-santa-helena-rio-branco.jpg",-10.028866899392,-67.79741210357
1,NA,79,0,2,NA,0,0,2668894250,NA,0,0,0,1,2,1,0,0,1,285000,0,"Rua Marcelino Machado, 130 - Loteamento Isaura Parente, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-academia-loteamento-isaura-parente-rio-branco-ac-79m2-id-2668894250/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/251bc820d866a172fd181172ce62b9fb/apartamento-com-2-quartos-a-venda-79m-no-loteamento-isaura-parente-rio-branco.jpg",-9.960089982469,-67.835889965219
0,3,54,0,1,NA,0,1,2668762923,NA,1,1,1,1,2,1,0,0,1,220000,0,"Estrada do Calafate, 3075 - Waldemar Maciel, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-waldemar-maciel-rio-branco-ac-54m2-id-2668762923/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/d8a67c1dba9aad5095bec585781d0968/apartamento-com-2-quartos-a-venda-54m-no-waldemar-maciel-rio-branco.jpg",-9.977561466499,-67.889766369878
0,2,72,0,1,334,0,1,2662880559,NA,1,1,1,0,2,1,0,0,1,280000,0,"Rua Piracanjuba, 970 - Portal da Amazonia, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-portal-da-amazonia-rio-branco-ac-72m2-id-2662880559/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/09221c486dbb877eafde2a4ac6f26d0e/apartamento-com-2-quartos-a-venda-72m-no-portal-da-amazonia-rio-branco.jpg",-9.974622568104,-67.861000889848
NA,2,54,NA,1,127,NA,NA,2664682629,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2e+05,NA,"Rua Quintino Bocaiuva, 1577 - Bosque, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-ar-condicionado-bosque-rio-branco-ac-54m2-id-2664682629/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bb9640361c30103a2d443139596f2c57/apartamento-com-2-quartos-a-venda-54m-no-bosque-rio-branco.jpg",-9.96190001255,-67.811310034157
NA,NA,53,NA,1,NA,NA,NA,2656274069,NA,NA,NA,NA,NA,2,NA,NA,NA,1,215000,NA,"Alto Alegre, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-alto-alegre-rio-branco-ac-53m2-id-2656274069/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ff146dc8a0c850a197567dd1104c1948/apartamento-com-2-quartos-a-venda-53m-no-alto-alegre-rio-branco.jpg",-9.92805,-67.826
0,3,71,1,3,NA,0,0,2641540028,NA,1,0,0,1,3,0,0,0,1,285000,0,"Recanto dos Buritis, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-recanto-dos-buritis-rio-branco-ac-71m2-id-2641540028/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/0daa57585b2e846e4eeb7e4022081d32/apartamento-com-3-quartos-a-venda-71m-no-recanto-dos-buritis-rio-branco.jpg",-10.00159,-67.79387
0,NA,82,0,2,NA,0,1,2619109539,NA,1,0,1,0,3,0,0,0,2,330000,0,"Rua Piracanjuba, 917 - Portal da Amazonia, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-portal-da-amazonia-rio-branco-ac-82m2-id-2619109539/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8cac35eb1aac782a96c6bc355ca4f372/apartamento-com-3-quartos-a-venda-82m-no-portal-da-amazonia-rio-branco.jpg",-9.974644989695,-67.860729986737
0,2,71,1,2,532,0,1,2664705933,300,1,1,1,1,3,1,0,0,1,260000,0,"Rua Tapajós, 280 - Isaura Parente, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-isaura-parente-rio-branco-ac-71m2-id-2664705933/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a72ba02741d7c4151486926adbb22fd9/apartamento-com-3-quartos-a-venda-71m-no-isaura-parente-rio-branco.jpg",-9.95909768411,-67.825351647035
0,11,111,0,3,800,1,1,2553060763,NA,1,0,1,0,3,1,0,0,2,580000,0,"Rua Major Ladislau Ferreira, 1042 - 7º BEC, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-7-bec-rio-branco-ac-111m2-id-2553060763/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2aca89c4b0659d6d7c64dfc73298a1cc/apartamento-com-3-quartos-a-venda-111m-no-7-bec-rio-branco.jpg",-9.970489996472,-67.827490040952
0,10,301,0,5,NA,1,0,2645679567,NA,0,0,0,0,5,0,0,0,4,2600000,0,"Jardim Manoel Juliao, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-mobiliado-jardim-manoel-juliao-rio-branco-ac-301m2-id-2645679567/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/8792486a0e1030bf98cbca1162cd4c5c/apartamento-com-5-quartos-para-venda-ou-aluguel-301m-no-jardim-manoel-juliao-rio-branco.jpg",-9.95926,-67.82307
0,NA,50,0,1,NA,0,1,2670896241,NA,1,1,0,1,2,0,0,0,1,345000,0,"Centro, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-rio-branco-ac-50m2-id-2670896241/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2efa897f4a23dd0cf46c3c56aab9e87d/apartamento-com-2-quartos-a-venda-50m-no-centro-rio-branco.jpg",-9.97107,-67.81032
0,NA,105,1,2,926,0,0,2577600991,NA,1,0,0,0,3,0,0,0,2,620000,1,"Aviario, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-aviario-rio-branco-ac-105m2-id-2577600991/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/a51470e37583147106a6970c640a88b1/apartamento-com-3-quartos-para-venda-ou-aluguel-105m-no-aviario-rio-branco.jpg",-9.96607,-67.8051
0,NA,50,0,1,NA,0,1,2670896242,NA,1,1,0,1,2,0,0,0,1,360000,0,"Centro, Rio Branco - AC","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-rio-branco-ac-50m2-id-2670896242/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/d7dd21a74492ffcd0ff6d41c1dbe7ed0/apartamento-com-2-quartos-a-venda-50m-no-centro-rio-branco.jpg",-9.97107,-67.81032
0,NA,275,0,3,NA,0,1,2619116698,NA,1,0,1,0,5,1,0,0,3,850000,1,"Rua Jaqueline, 129 - Loteamento dos Engenheiros, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-piscina-loteamento-dos-engenheiros-rio-branco-ac-275m2-id-2619116698/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/0a16f74768157cc68c42cc0cf9a0217a/casa-com-5-quartos-a-venda-275m-no-loteamento-dos-engenheiros-rio-branco.jpg",-9.961510002595,-67.843020031156
NA,NA,200,NA,1,NA,NA,NA,2653496855,800,NA,NA,NA,NA,3,NA,NA,NA,2,3e+05,NA,"Rua Formosa, 871 - Nova Estacao, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-nova-estacao-rio-branco-ac-200m2-id-2653496855/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/0e1761ac272333444446877420c3efa9/casa-com-3-quartos-a-venda-200m-no-nova-estacao-rio-branco.jpg",-9.953439990037,-67.830599978487
NA,NA,458,NA,NA,398000,NA,NA,2635916157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398000,NA,"Loteamento Novo Horizonte, Rio Branco - AC","terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-loteamento-novo-horizonte-rio-branco-ac-458m2-id-2635916157/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/49d5cbb6d5550270507be36fec9b7a59/terreno-lote-comercial-a-venda-458m-no-loteamento-novo-horizonte-rio-branco.jpg",-9.97853,-67.8341
NA,NA,467,NA,NA,NA,NA,NA,2657537862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498000,NA,"Bosque, Rio Branco - AC","terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-bosque-rio-branco-ac-467m2-id-2657537862/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ce16956e3f76c0342e8fee8670264369/terreno-lote-comercial-a-venda-467m-no-bosque-rio-branco.jpg",-9.96263,-67.8149
NA,NA,1564,NA,NA,NA,NA,NA,2652943963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560000,NA,"Areal, Rio Branco - AC","terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-areal-rio-branco-ac-1564m2-id-2652943963/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/00ea80bff754bfa671170ed3cb9c366a/terreno-lote-comercial-a-venda-1564m-no-areal-rio-branco.jpg",-10.00281,-67.80141
NA,NA,703,NA,NA,NA,NA,NA,2616332593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e+05,NA,"Avenida Ceará, SN - 7º BEC, Rio Branco - AC","terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-7-bec-rio-branco-ac-703m2-id-2616332593/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/3d065ffd33fac4b6251e43fe6f252cec/terreno-lote-comercial-a-venda-703m-no-7-bec-rio-branco.jpg",-9.97305767748,-67.797607942642
NA,NA,260,NA,NA,NA,NA,NA,2653180017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390000,NA,"Aviario, Rio Branco - AC","terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-aviario-rio-branco-ac-260m2-id-2653180017/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fb844113b5a5c6bd1cc68279504dc778/terreno-lote-comercial-a-venda-260m-no-aviario-rio-branco.jpg",-9.96607,-67.8051
