"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
1,NA,300,0,1,NA,0,1,2659266354,NA,1,1,1,1,1,1,1,1,NA,180000,0,"Centro, Santo Amaro do Maranhão - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-centro-santo-amaro-do-maranhao-ma-300m2-id-2659266354/",-2.50086,-43.25154
NA,1,81,NA,4,NA,NA,NA,2664899496,NA,NA,NA,NA,NA,3,NA,NA,NA,1,382200,NA,"Centro, Santo Amaro do Maranhão - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-centro-santo-amaro-do-maranhao-ma-81m2-id-2664899496/",-2.50086,-43.25154
NA,1,81,NA,4,1,NA,NA,2663327877,1,NA,NA,NA,NA,3,NA,NA,NA,1,382200,NA,"Centro, Santo Amaro do Maranhão - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-centro-santo-amaro-do-maranhao-ma-81m2-id-2663327877/",-2.50086,-43.25154
NA,1,81,NA,4,1,NA,NA,2662517056,1,NA,NA,NA,NA,3,NA,NA,NA,1,382200,NA,"Centro, Santo Amaro do Maranhão - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-centro-santo-amaro-do-maranhao-ma-81m2-id-2662517056/",-2.50086,-43.25154
0,NA,200,0,4,NA,0,0,2593257454,NA,0,0,1,0,4,0,0,0,2,750000,0,"Rua dos Lençóis, 7 - Centro, Santo Amaro do Maranhão - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-centro-santo-amaro-do-maranhao-ma-200m2-id-2593257454/",-2.503144637847,-43.244359379313
NA,1,81,NA,4,1,NA,NA,2660115284,1,NA,NA,NA,NA,3,NA,NA,NA,1,382200,NA,"Centro, Santo Amaro do Maranhão - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-centro-santo-amaro-do-maranhao-ma-81m2-id-2660115284/",-2.50086,-43.25154
0,NA,210,0,6,NA,0,1,2631817031,NA,1,1,1,0,5,0,0,0,2,1750000,0,"Rua Tiradentes, 111 - Centro, Santo Amaro do Maranhão - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-mobiliado-centro-santo-amaro-do-maranhao-ma-210m2-id-2631817031/",-2.499526694779,-43.256373268764
0,NA,65,1,3,1,0,0,2663835575,1,1,0,1,0,2,1,0,0,1,383200,0,"Centro, Santo Amaro do Maranhão - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-centro-santo-amaro-do-maranhao-ma-65m2-id-2663835575/",-2.50086,-43.25154
NA,NA,103,NA,1,NA,NA,NA,2568473698,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,450000,NA,"Santo Amaro do Maranhão - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-santo-amaro-do-maranhao-ma-103m2-id-2568473698/",-2.50086,-43.25154
0,NA,185,1,2,NA,0,0,2579472212,NA,0,0,0,0,3,0,0,0,13,850000,0,"Santo Amaro do Maranhão - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-santo-amaro-do-maranhao-ma-185m2-id-2579472212/",-2.50086,-43.25154
0,NA,81,1,3,1,0,0,2665662497,1,1,0,1,0,2,1,0,0,1,383200,0,"Centro, Santo Amaro do Maranhão - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-centro-santo-amaro-do-maranhao-ma-81m2-id-2665662497/",-2.50086,-43.25154
NA,1,81,NA,4,NA,NA,NA,2666121796,NA,NA,NA,NA,NA,3,NA,NA,NA,1,382200,NA,"Centro, Santo Amaro do Maranhão - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-centro-santo-amaro-do-maranhao-ma-81m2-id-2666121796/",-2.50086,-43.25154
