"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,1,45,0,1,220,0,1,2656704069,100,1,1,1,1,2,1,0,0,1,50000,0,"Estrada da Maioba, 777 - Forquilha, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-forquilha-sao-luis-ma-45m2-id-2656704069/",-2.552717285803,-44.214631695136
NA,NA,60,NA,2,1,NA,NA,2653709659,1,NA,NA,NA,NA,3,NA,NA,NA,1,280000,NA,"Condomínio Barramar I, 1 - Calhau, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-calhau-sao-luis-ma-60m2-id-2653709659/",-2.49001,-44.24709
NA,NA,56,NA,1,342,NA,NA,2651142058,NA,NA,NA,NA,NA,2,NA,NA,NA,1,265000,NA,"Rua Dez, 1 - Planalto Vinhais II, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-planalto-vinhais-ii-sao-luis-ma-56m2-id-2651142058/",-2.518500011656,-44.254469966634
0,2,54,0,1,170,0,1,2638382027,NA,0,0,1,1,2,1,0,0,1,110000,0,"Rua General Artur Carvalho, 01 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-turu-sao-luis-ma-54m2-id-2638382027/",-2.507739994911,-44.214029966022
0,NA,60,1,2,460,0,0,2641704478,NA,0,0,0,0,2,0,0,0,1,350000,0,"Ponta Do Farol, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-ponta-do-farol-sao-luis-ma-60m2-id-2641704478/",-2.49062,-44.29708
NA,NA,217,NA,4,NA,NA,NA,2484396681,NA,NA,NA,NA,NA,3,NA,NA,NA,4,2500000,NA,"Avenida dos Holandeses, 0 - Ponta D'areia, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-ponta-d-areia-sao-luis-ma-217m2-id-2484396681/",-2.493646913135,-44.305624547919
0,NA,57,0,2,212,0,1,2650227685,NA,1,1,1,0,1,1,0,0,1,150000,0,"Estrada de Ribamar, 1 - Maiobinha, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-maiobinha-sao-luis-ma-57m2-id-2650227685/",-2.551770006563,-44.233259979744
1,3,53,1,1,1,1,1,2644811065,1,1,1,1,1,2,1,0,0,1,390039,1,"Avenida São Luís Rei de França, 59 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-turu-sao-luis-ma-53m2-id-2644811065/",-2.525130013248,-44.225950038166
1,3,56,0,2,270,1,1,2647759070,NA,1,1,1,1,2,1,0,0,1,250000,0,"Conjunto Primavera, 1 - Turu, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-turu-sao-luis-ma-56m2-id-2647759070/",-2.520070768468,-44.236367004059
1,1,50,0,1,220,0,1,2653327498,NA,1,1,1,1,2,1,0,0,1,220000,1,"Avenida Mato Grosso, 1 - Chacara Brasil, São Luís - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-chacara-brasil-sao-luis-ma-50m2-id-2653327498/",-2.508130004866,-44.221149973674
