"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
NA,NA,56,NA,2,NA,NA,NA,2611327275,NA,NA,NA,NA,NA,2,NA,NA,NA,1,219500,NA,"Colorado, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-colorado-teresina-pi-56m2-id-2611327275/",-5.0959,-42.7344
0,NA,52,0,1,360,1,1,2654239661,400,1,1,0,0,2,1,0,0,1,179000,0,"Rua Odete Soares Nunes, 3643 - Piçarreira, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-picarreira-teresina-pi-52m2-id-2654239661/",-5.059925510279,-42.766168033598
1,NA,72,0,2,320,1,1,2627022097,1,1,1,1,1,3,1,0,0,2,385000,1,"Rua Professora Amália Pinheiro, 4678 - Morros, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-morros-teresina-pi-72m2-id-2627022097/",-5.035935128809,-42.764406504081
1,10,83,0,2,560,1,1,2648784014,1,0,1,1,0,2,1,0,0,2,650000,1,"Rua Basílio Bezerra, 2500 - Planalto, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-planalto-teresina-pi-83m2-id-2648784014/",-5.059960820377,-42.769941092051
1,NA,70,0,3,328,0,1,2640280291,1,1,1,1,0,3,1,0,0,2,4e+05,0,"Avenida João XXIII, 3820 - São Cristóvão, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-sao-cristovao-teresina-pi-70m2-id-2640280291/",-5.081146010679,-42.774117966588
1,8,105,0,3,640,1,1,2640017400,NA,1,1,1,1,4,1,0,0,2,699900,1,"Rua Teresinha Farias, 2150 - Fátima, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-fatima-teresina-pi-105m2-id-2640017400/",-5.06547016735,-42.784507599175
NA,NA,44,NA,1,200,NA,NA,2644821063,NA,NA,NA,NA,NA,2,NA,NA,NA,1,115000,NA,"Rua Paulo Carneiro da Cunha, 2484 - Tancredo Neves, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-tancredo-neves-teresina-pi-44m2-id-2644821063/",-5.11165437217,-42.76802316225
1,NA,80,0,2,550,1,1,2634905757,1200,1,1,1,0,3,1,0,0,2,580000,0,"Rua Basílio Bezerra, 125 - Planalto, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-planalto-teresina-pi-80m2-id-2634905757/",-5.059103195511,-42.769916314379
1,6,76,1,2,320,1,0,2645287655,NA,1,1,0,0,3,1,0,0,2,4e+05,1,"Rua Professora Amália Pinheiro - Morros, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-morros-teresina-pi-76m2-id-2645287655/",-5.035935128809,-42.764406504081
1,1,89,0,2,1,0,1,2646503788,1,1,1,0,1,3,1,0,0,2,510000,0,"Avenida Professor Camilo Filho, 467 - Gurupi, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-gurupi-teresina-pi-89m2-id-2646503788/",-5.081348464626,-42.72928944787
NA,1,48,NA,1,200,NA,NA,2568965004,NA,NA,NA,NA,NA,2,NA,NA,NA,1,150000,NA,"Rua Leôncio Ferraz, 1392 - Morada do Sol, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-morada-do-sol-teresina-pi-48m2-id-2568965004/",-5.067990014827,-42.763780002838
