"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
NA,NA,"71299.0",NA,NA,NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2600858783",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-dom-helder-camara-garanhuns-pe-71299m2-id-2600858783/",NA,"4950000.0",NA,-8.86532,-36.50062
"0",NA,"290.0","0","5.0",NA,"0","Rua Abílio Camilo Valença, 117 - Heliopolis, Garanhuns - PE","0","2611294792",NA,"0","0","0","0","8.0","0","0","0","casas","https://www.zapimoveis.com.br/imovel/venda-casa-8-quartos-heliopolis-garanhuns-pe-290m2-id-2611294792/","3.0","490000.0","1.0",-8.878179988301,-36.4744799754
NA,NA,"200.0",NA,"2.0",NA,NA,"Heliopolis, Garanhuns - PE",NA,"2610008545",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-heliopolis-garanhuns-pe-200m2-id-2610008545/","6.0","570000.0",NA,-8.88638,-36.47507
NA,NA,"158.0",NA,"2.0",NA,NA,"Heliopolis, Garanhuns - PE",NA,"2610008095",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-heliopolis-garanhuns-pe-158m2-id-2610008095/","1.0","500000.0",NA,-8.88638,-36.47507
NA,NA,"224.0",NA,"4.0",NA,NA,"Santo Antonio, Garanhuns - PE",NA,"2610008096",NA,NA,NA,NA,NA,"6.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-6-quartos-com-churrasqueira-santo-antonio-garanhuns-pe-224m2-id-2610008096/","1.0","350000.0",NA,-8.88974,-36.4896
NA,NA,NA,NA,NA,NA,NA,"Santo Antonio, Garanhuns - PE",NA,"2628398876",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_e_lotes_comerciais","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-santo-antonio-garanhuns-pe-id-2628398876/",NA,"900000.0",NA,-8.88974,-36.4896
NA,"1.0","80.0",NA,"1.0",NA,NA,"Avenida José Leitão, 655 - Boa Vista, Garanhuns - PE",NA,"2639011569",NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-boa-vista-garanhuns-pe-80m2-id-2639011569/",NA,"160000.0",NA,-8.9008085246,-36.493599561577
"1.0",NA,"50.0","0","1.0","200.0","0","Rua Paulo Afonso - Sao Jose, Garanhuns - PE","1.0","2434758648",NA,"0","0","0","0","2.0","1.0","0","0","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-sao-jose-garanhuns-pe-50m2-id-2434758648/","1.0","160000.0","0",-8.882194015248,-36.49352590993
"0",NA,"127.0","1.0","2.0",NA,"0","Rua Vereador José da Silva Florêncio, 75 - Francisco Simao dos Santos Figueira, Garanhuns - PE","0","2646593393","95.0","0","0","0","0","3.0","0","0","0","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-francisco-simao-dos-santos-figueira-garanhuns-pe-127m2-id-2646593393/","2.0","250000.0","0",-8.906259992582,-36.480609996468
NA,NA,"300.0",NA,NA,NA,NA,"Avenida Santo Antônio, 123 - Santo Antonio, Garanhuns - PE",NA,"2608603477","100.0",NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-santo-antonio-garanhuns-pe-300m2-id-2608603477/",NA,"80000.0",NA,-8.891357309402,-36.495526114735
