academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
,,450.0,,,,,"Avenida Central, 400 - Ponta Negra, Maricá - RJ",,2644102275,,,,,,,,,,lancamentos_de_terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/lancamento/venda-terreno-lote-condominio-ponta-negra-marica-rj-730m2-id-2644102275/,,,
0,1.0,101.0,1.0,2.0,100.0,0,"Rua Nove, 658 - Itaipuaçú, Maricá - RJ",0,2643780050,300.0,0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-itaipuacu-marica-rj-101m2-id-2643780050/,1.0,342900.0,0
0,,143.0,0,3.0,,0,"Jardim Atlântico Oeste, Maricá - RJ",0,2628645246,,1.0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-atlantico-oeste-marica-rj-143m2-id-2628645246/,1.0,700000.0,1.0
0,1.0,250.0,0,3.0,,0,"Rua Waldir Tavares Guapyassú de Sá, 1 - Itaipuaçú, Maricá - RJ",1.0,2570610741,10.0,1.0,0,0,0,4.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-itaipuacu-marica-rj-250m2-id-2570610741/,9.0,850000.0,1.0
,1.0,480.0,,1.0,,,"Rua Jupira Silva, 0 - Jardim Atlântico, Maricá - RJ",,2647536748,160.0,,,,,1.0,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-1-quarto-jardim-atlantico-marica-rj-480m2-id-2647536748/,,145000.0,
0,,480.0,1.0,5.0,,0,"Rua Abrahão Tavares de Moraes, 17 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",0,2647513301,1000.0,0,0,0,0,4.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-jardim-atlantico-leste-itaipuacu-marica-rj-480m2-id-2647513301/,6.0,700000.0,1.0
0,,360.0,0,3.0,601.0,0,"Rua Raul Alfredo de Andrade, 540 - Caxito, Maricá - RJ",1.0,2647664196,758.0,1.0,0,0,1.0,3.0,1.0,1.0,0,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-mobiliado-caxito-marica-rj-360m2-id-2647664196/,2.0,480000.0,0
,,360.0,,,397.0,,"Estrada Oscar Vieira da Costa Júnior - Cajueiro, Maricá - RJ",,2647608860,397.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cajueiro-marica-rj-360m2-id-2647608860/,,165000.0,
1.0,,150.0,1.0,2.0,1.0,0,"Rodovia Vereador Oldemar Guedes Figueiredo - Ubatiba, Maricá - RJ",1.0,2647544655,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-ubatiba-marica-rj-150m2-id-2647544655/,1.0,189000.0,1.0
1.0,,240.0,0,2.0,350.0,0,"Estrada Henfil, 2 - Pindobas, Maricá - RJ",1.0,2647437169,680.0,1.0,0,0,1.0,3.0,1.0,0,0,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-pindobas-marica-rj-240m2-id-2647437169/,2.0,480000.0,0
0,,137.0,1.0,1.0,,0,"Rua Jacarandá, 100 - Condado de Maricá, Maricá - RJ",0,2647583979,30.0,0,0,0,0,2.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-condado-de-marica-marica-rj-137m2-id-2647583979/,1.0,300000.0,0
,,1600.0,,,,,"Rua Kawan - Itaupuaçu, Maricá - RJ",,2647394280,269.0,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-itaupuacu-marica-rj-1600m2-id-2647394280/,,250000.0,
0,,140.0,1.0,2.0,,0,"Avenida Itaipuaçu, 100 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",0,2647369888,80.0,1.0,0,0,0,4.0,0,0,0,casas,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-jardim-atlantico-leste-itaipuacu-marica-rj-140m2-id-2647369888/,3.0,500000.0,0
1.0,,150.0,1.0,2.0,1.0,0,"Rodovia Vereador Oldemar Guedes Figueiredo - Ubatiba, Maricá - RJ",1.0,2647753380,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,casas_de_condominio,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-ubatiba-marica-rj-150m2-id-2647753380/,1.0,189000.0,1.0
1.0,,392.0,0,,580.0,0,"Rodovia Ernani do Amaral Peixoto - Itapeba, Maricá - RJ",1.0,2647437170,157.0,1.0,0,0,1.0,,1.0,1.0,0,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-itapeba-marica-rj-392m2-id-2647437170/,,180000.0,0
1.0,,451.0,0,,450.0,0,"Estrada de Ponta Negra, 400 - Ponta Negra, Maricá - RJ",1.0,2647563585,,1.0,0,0,1.0,,1.0,0,0,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-ponta-negra-marica-rj-451m2-id-2647563585/,,229900.0,0
,,5000.0,,,,,"Avenida Carlos Marighella, 2300 - Barroco, Maricá - RJ",,2645013578,,,,,,,,,,terrenos_lotes_e_condominios,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-barroco-marica-rj-5000m2-id-2645013578/,10.0,2500000.0,
,,85.0,,2.0,1.0,,"Rua Quatro, 100 - São José de Imbassai, Maricá - RJ",,2647319029,1.0,,,,,2.0,,,,casas,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-jose-de-imbassai-marica-rj-85m2-id-2647319029/,2.0,339300.0,
0,,64.0,1.0,2.0,,0,"Estrada Dezoito - Itaocaia Valley, Maricá - RJ",0,2630684894,180.0,0,0,0,0,2.0,0,0,0,sobrados,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-area-de-servico-itaocaia-valley-marica-rj-64m2-id-2630684894/,1.0,220000.0,0
