academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
1.0,11.0,64.0,0,2.0,580.0,1.0,"Rua Vicente Zírpoli, 142 - Caxangá, Recife - PE",0,2625989362,150.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-caxanga-recife-pe-64m2-id-2625989362/,1.0,450000.0,0
0,4.0,61.0,0,2.0,650.0,0,"Rua Antônio Vieira, 250 - Madalena, Recife - PE",0,2618345196,100.0,1.0,1.0,0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-madalena-recife-pe-61m2-id-2618345196/,1.0,379999.0,1.0
0,4.0,73.0,0,3.0,700.0,1.0,"Rua Mário Sete, 176 - Campo Grande, Recife - PE",0,2629292137,,0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-campo-grande-recife-pe-73m2-id-2629292137/,1.0,320000.0,0
1.0,,43.0,1.0,1.0,300.0,0,"Rua José de Holanda, 890 - Torre, Recife - PE",0,2600780155,70.0,1.0,1.0,0,1.0,2.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-torre-recife-pe-43m2-id-2600780155/,1.0,300000.0,0
,,49.0,,2.0,1.0,,"Avenida Liberdade, 54 - Sancho, Recife - PE",,2643766168,1.0,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sancho-recife-pe-49m2-id-2643766168/,1.0,283700.0,
1.0,1.0,63.0,0,2.0,10.0,0,"Rua Alfredo Osório, 155 - Tamarineira, Recife - PE",1.0,2639249190,10.0,0,0,1.0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-academia-tamarineira-recife-pe-63m2-id-2639249190/,1.0,430000.0,0
0,,300.0,1.0,4.0,,0,"Rua Costa Sepúlveda, 217 - Engenho do Meio, Recife - PE",0,2637983541,450.0,0,0,0,0,4.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-engenho-do-meio-recife-pe-300m2-id-2637983541/,4.0,520000.0,0
,3.0,58.0,,2.0,1.0,,"Avenida Liberdade, 54 - Sancho, Recife - PE",,2575929333,1.0,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sancho-recife-pe-58m2-id-2575929333/,1.0,283700.0,
1.0,3.0,67.0,1.0,2.0,7.0,1.0,"Rua Abdísio Veiga, 101 - Ilha do Retiro, Recife - PE",1.0,2649622753,7.0,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-ilha-do-retiro-recife-pe-67m2-id-2649622753/,1.0,610008.0,1.0
0,5.0,74.0,1.0,2.0,590.0,1.0,"Rua Izabel Magalhães, 701 - Boa Viagem, Recife - PE",1.0,2646144466,2700.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-74m2-id-2646144466/,1.0,560000.0,0
1.0,,52.0,0,2.0,1.0,1.0,"Estrada de Belém, 1 - Campo Grande, Recife - PE",0,2650937667,1.0,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-campo-grande-recife-pe-52m2-id-2650937667/,1.0,339000.0,0
,1.0,32.0,,1.0,1.0,,"Rua Nunes Machado, 47 - Soledade, Recife - PE",,2642803485,1.0,,,,,1.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-soledade-recife-pe-32m2-id-2642803485/,1.0,268000.0,
1.0,,53.0,0,1.0,1.0,1.0,"Rua Engenho Poeta, 193 - Caxangá, Recife - PE",0,2565796181,1.0,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-caxanga-recife-pe-53m2-id-2565796181/,1.0,379999.0,1.0
1.0,20.0,126.0,1.0,3.0,1071.0,1.0,"Rua Capitão Rebelinho, 600 - Pina, Recife - PE",1.0,2625284754,,1.0,0,0,0,4.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-pina-recife-pe-126m2-id-2625284754/,2.0,1650000.0,0
1.0,1.0,49.0,0,2.0,1.0,1.0,"Avenida Liberdade, 54 - Jardim São Paulo, Recife - PE",1.0,2632475877,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-sao-paulo-recife-pe-49m2-id-2632475877/,1.0,299000.0,1.0
0,,67.0,0,2.0,,1.0,"Rua Oscar Pinto, 300 - Casa Amarela, Recife - PE",0,2609431647,,1.0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-casa-amarela-recife-pe-67m2-id-2609431647/,1.0,540000.0,0
,,82.0,,3.0,880.0,,"Rua Evaristo da Veiga - Casa Amarela, Recife - PE",,2615022702,3500.0,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-casa-amarela-recife-pe-82m2-id-2615022702/,2.0,650000.0,
1.0,8.0,72.0,0,1.0,600.0,1.0,"Rua Nossa Senhora de Pompéia, 86 - Encruzilhada, Recife - PE",0,2625662375,1800.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-encruzilhada-recife-pe-72m2-id-2625662375/,1.0,500000.0,0
1.0,,125.0,0,3.0,1089.0,1.0,"Rua Professora Anunciada da Rocha Melo, 70 - Madalena, Recife - PE",0,2619334001,340.0,1.0,1.0,1.0,0,4.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-madalena-recife-pe-125m2-id-2619334001/,3.0,1000000.0,0
0,4.0,253.0,0,2.0,,1.0,"Avenida Conselheiro Rosa e Silva, 1336 - Aflitos, Recife - PE",0,2610526990,,1.0,1.0,1.0,0,4.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-aflitos-recife-pe-253m2-id-2610526990/,4.0,2750000.0,0
1.0,,50.0,0,1.0,,1.0,"Avenida Liberdade, 54 - Jardim São Paulo, Recife - PE",1.0,2622789122,,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-jardim-sao-paulo-recife-pe-50m2-id-2622789122/,1.0,273700.0,1.0
