"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
0,1,46,0,1,NA,0,"Rua da Pedreira, 1 - Novo Cohatrac, São José de Ribamar - MA",0,2582658436,NA,1,0,0,1,2,1,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-novo-cohatrac-sao-jose-de-ribamar-ma-46m2-id-2582658436/",1,76000,0,-2.540089487693,-44.191380426256
NA,1,117,NA,2,NA,NA,"Loteamento Jardim Turu, São José de Ribamar - MA",NA,2646157592,400,NA,NA,NA,NA,4,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-seguranca-interna-loteamento-jardim-turu-sao-jose-de-ribamar-ma-117m2-id-2646157592/",4,370000,NA,-2.5034,-44.23486
NA,NA,62,NA,2,360,NA,"Araçagy, São José de Ribamar - MA",NA,2580514782,NA,NA,NA,NA,NA,3,NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-aracagy-sao-jose-de-ribamar-ma-62m2-id-2580514782/",1,350000,NA,-2.47975864141,-44.211260753471
0,NA,98,0,3,NA,0,"Avenida São Paulo, 15 - Araçagy, São José de Ribamar - MA",0,2596878559,155,0,0,1,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-acesso-24-horas-aracagy-sao-jose-de-ribamar-ma-98m2-id-2596878559/",2,430001,1,-2.565190020281,-44.18634998807
NA,NA,112,NA,2,NA,NA,"Araçagy, São José de Ribamar - MA",NA,2649636553,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-closet-aracagy-sao-jose-de-ribamar-ma-112m2-id-2649636553/",4,320000,NA,-2.47975864141,-44.211260753471
NA,NA,50,NA,1,NA,NA,"São José de Ribamar - MA",NA,2634661754,NA,NA,NA,NA,NA,2,NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sao-jose-de-ribamar-ma-50m2-id-2634661754/",1,125000,NA,-2.55002,-44.06755
NA,NA,408,NA,NA,NA,NA,"São José de Ribamar - MA",NA,2634552782,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-sao-jose-de-ribamar-ma-408m2-id-2634552782/",NA,140000,NA,-2.55002,-44.06755
0,NA,250,0,3,NA,0,"Araçagy, São José de Ribamar - MA",1,2642725872,NA,1,0,0,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-250m2-id-2642725872/",5,720000,0,-2.47975864141,-44.211260753471
NA,NA,108,NA,2,5,NA,"Araçagy, São José de Ribamar - MA",NA,2647720779,5,NA,NA,NA,NA,3,NA,NA,NA,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-aracagy-sao-jose-de-ribamar-ma-108m2-id-2647720779/",NA,499000,NA,-2.47975864141,-44.211260753471
1,NA,63,0,2,375,1,"Araçagy, São José de Ribamar - MA",1,2633034184,NA,1,1,1,1,2,1,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-63m2-id-2633034184/",1,1e+05,1,-2.47975864141,-44.211260753471
0,NA,120,0,2,NA,0,"Araçagy, São José de Ribamar - MA",0,2638379261,NA,0,0,1,0,3,0,0,0,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-aracagy-sao-jose-de-ribamar-ma-120m2-id-2638379261/",4,420000,0,-2.47975864141,-44.211260753471
NA,NA,250,NA,NA,1,NA,"Avenida Panaquatira, 7 - Araçagy, São José de Ribamar - MA",NA,2646358578,1,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-aracagy-sao-jose-de-ribamar-ma-250m2-id-2646358578/",NA,2e+05,NA,-2.552606479388,-44.068441867051
0,NA,160,0,3,NA,0,"Araçagy, São José de Ribamar - MA",1,2636706474,NA,1,0,1,0,3,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-160m2-id-2636706474/",2,580000,0,-2.47975864141,-44.211260753471
