"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
NA,NA,52,NA,1,NA,NA,NA,2608246106,NA,NA,NA,NA,NA,2,NA,NA,2,182500,NA,"São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-jose-de-ribamar-ma-52m2-id-2608246106/",-2.55002,-44.06755
0,NA,48,0,1,NA,0,0,2634416359,NA,1,1,1,1,2,0,0,1,60000,0,"Avenida General Arthur Carvalho, 1245 - Novo Cohatrac, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-novo-cohatrac-sao-jose-de-ribamar-ma-48m2-id-2634416359/",-2.500751859547,-44.205127108356
0,NA,141,1,3,400,0,1,2567528949,100,1,0,1,1,3,0,0,2,600020,1,"Araçagy, São José de Ribamar - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-141m2-id-2567528949/",-2.47975864141,-44.211260753471
NA,NA,58,NA,2,220,NA,NA,2646536262,NA,NA,NA,NA,NA,2,NA,NA,1,75000,NA,"Estrada de Ribamar, 0 - Forquilha, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-58m2-id-2646536262/",-2.554473113214,-44.209764791187
0,NA,70,0,2,NA,0,0,2646850862,NA,0,0,0,0,2,0,0,2,235000,1,"Loteamento Jardim Turu, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-americana-loteamento-jardim-turu-sao-jose-de-ribamar-ma-70m2-id-2646850862/",-2.5034,-44.23486
0,NA,126,0,2,NA,0,0,2646853881,NA,0,0,0,0,3,0,0,3,380000,1,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-closet-aracagy-sao-jose-de-ribamar-ma-126m2-id-2646853881/",-2.47975864141,-44.211260753471
NA,NA,55,NA,2,NA,NA,NA,2646492346,NA,NA,NA,NA,NA,2,NA,NA,1,170000,NA,"Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aracagy-sao-jose-de-ribamar-ma-55m2-id-2646492346/",-2.47975864141,-44.211260753471
NA,NA,100,NA,2,NA,NA,NA,2646852267,NA,NA,NA,NA,NA,3,NA,NA,2,250000,NA,"Loteamento Jardim Turu, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-americana-loteamento-jardim-turu-sao-jose-de-ribamar-ma-100m2-id-2646852267/",-2.5034,-44.23486
NA,NA,113,NA,2,NA,NA,NA,2646853253,NA,NA,NA,NA,NA,3,NA,NA,3,430000,NA,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-closet-aracagy-sao-jose-de-ribamar-ma-113m2-id-2646853253/",-2.47975864141,-44.211260753471
0,3,57,0,2,NA,0,0,2642543298,NA,1,1,1,1,2,0,0,1,150000,0,"Estrada da Maioba, 200 - São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sao-jose-de-ribamar-ma-57m2-id-2642543298/",-2.546996341785,-44.198957591074
1,NA,58,0,2,260,0,1,2646370364,1,1,1,0,1,2,0,0,1,130000,1,"São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-sao-jose-de-ribamar-ma-58m2-id-2646370364/",-2.55002,-44.06755
NA,NA,57,NA,2,1,NA,NA,2646685225,1,NA,NA,NA,NA,2,NA,NA,5,236956,NA,"Avenida Norte, 12 - Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aracagy-sao-jose-de-ribamar-ma-57m2-id-2646685225/",-2.478159938561,-44.19319379507
